component_id	name	subsystem_id	security_notes	threat_model_refs
COMP-1-in-progress-work-t	1. In-Progress Work Tracking	SUB-1-AGENT-ORCHEST		
COMP-1-task-entity-schema	1. Task Entity Schema	SUB-1-AGENT-ORCHEST		
COMP-agent-base-class	Agent Base Class	SUB-1-AGENT-ORCHEST		
COMP-agent-status-dashboa	Agent Status Dashboard	SUB-1-AGENT-ORCHEST		
COMP-task-decomposition-e	Task Decomposition Engine	SUB-1-AGENT-ORCHEST	authentication; JWT	
COMP-unified-container-or	Unified Container Orchestration	SUB-1-AGENT-ORCHEST		
COMP-3-serena-server-port	**3. SERENA SERVER** (port 3006) - **Symbol-Level Navigation**	SUB-12-EXA-WEB-SEAR		
COMP-4-2-codebase-modules	**4.2 Codebase & Modules**	SUB-12-EXA-WEB-SEAR		
COMP-exa-web-research-age	**Exa (Web Research Agent)**	SUB-12-EXA-WEB-SEAR		
COMP-phase-2-research-ana	**Phase 2: Research & Analysis**	SUB-12-EXA-WEB-SEAR		
COMP-1-architectural-visi	1. Architectural Vision & Goals	SUB-12-EXA-WEB-SEAR		
COMP-1-context7-documenta	1. Context7 - Documentation & Reference	SUB-12-EXA-WEB-SEAR		
COMP-1-core-business-goal	1. Core Business Goals & User Problems	SUB-12-EXA-WEB-SEAR		
COMP-1-research-question-	1. Research Question or Hypothesis	SUB-12-EXA-WEB-SEAR		
COMP-10-context7-document	10. Context7 - Documentation Retrieval	SUB-12-EXA-WEB-SEAR		
COMP-11-risks-mitigations	11. Risks & Mitigations	SUB-12-EXA-WEB-SEAR		
COMP-12-sc-document	12. **/sc:document**	SUB-12-EXA-WEB-SEAR		
COMP-12-exa-web-search-re	12. Exa - Web Search & Research	SUB-12-EXA-WEB-SEAR		
COMP-13-risks-mitigations	13) Risks & mitigations	SUB-12-EXA-WEB-SEAR		
COMP-2-key-concepts-termi	2) Key Concepts & Terminology	SUB-12-EXA-WEB-SEAR		
COMP-2-core-components-se	2. Core Components & Services	SUB-12-EXA-WEB-SEAR	authorization; authentication; JWT	
COMP-2-exa-research-tools	2. Exa Research Tools (4 tools - ~2,000 tokens)	SUB-12-EXA-WEB-SEAR		
COMP-2-key-actors-persona	2. Key Actors & Personas	SUB-12-EXA-WEB-SEAR		
COMP-2-research-knowledge	2. `/research` - Knowledge Acquisition	SUB-12-EXA-WEB-SEAR		
COMP-3-system-scope-conte	3. System Scope & Context (C4 L0)	SUB-12-EXA-WEB-SEAR		
COMP-3-2-category-2-agent	3.2 Category 2: Agent Orchestration & AI Integration	SUB-12-EXA-WEB-SEAR		
COMP-3-4-category-4-neuro	3.4 Category 4: Neurodivergent UX & ADHD Support	SUB-12-EXA-WEB-SEAR		
COMP-3-7-category-7-integ	3.7 Category 7: Integration & Deployment	SUB-12-EXA-WEB-SEAR	"As a CTO, I want enterprise-grade security that protects sensitive data and meets compliance requirements"; _compliance: "Comprehensive security with GDPR, HIPAA, and SOX compliance"; "	
COMP-4-conclusions-implic	4. Conclusions & Implications	SUB-12-EXA-WEB-SEAR		
COMP-4-context7-documenta	4. Context7 Documentation Tools (2 tools - 1,343 tokens)	SUB-12-EXA-WEB-SEAR		
COMP-4-key-algorithms-pro	4. Key Algorithms & Protocols	SUB-12-EXA-WEB-SEAR		
COMP-5-design-principles-	5. Design Principles & Constraints	SUB-12-EXA-WEB-SEAR	by Design," "API-first development.")*	
COMP-5-technical-constrai	5. Technical Constraints & Decisions	SUB-12-EXA-WEB-SEAR		
COMP-5-unique-user-facing	5. Unique User-Facing Features & Implementations	SUB-12-EXA-WEB-SEAR		
COMP-5-implement-test-dri	5. `/implement` - Test-Driven Development	SUB-12-EXA-WEB-SEAR		
COMP-7-critical-risks-mit	7. Critical Risks & Mitigation Strategies	SUB-12-EXA-WEB-SEAR		
COMP-9-openmemory-mem0-pr	9. OpenMemory (mem0) - Priority: MEDIUM	SUB-12-EXA-WEB-SEAR		
COMP-code-search-current-	Code Search (Current Implementation)	SUB-12-EXA-WEB-SEAR		
COMP-context-goal	Context & Goal	SUB-12-EXA-WEB-SEAR		
COMP-core-research-develo	Core Research & Development:	SUB-12-EXA-WEB-SEAR		
COMP-development-implemen	Development & Implementation Agents:	SUB-12-EXA-WEB-SEAR		
COMP-documentation-api-de	Documentation & API Design	SUB-12-EXA-WEB-SEAR		
COMP-ops-reliability	Ops & Reliability	SUB-12-EXA-WEB-SEAR		
COMP-optimization-researc	Optimization Research (Enhancement)	SUB-12-EXA-WEB-SEAR		
COMP-phase-4-monitoring-r	Phase 4: Monitoring & Reliability (Week 4)	SUB-12-EXA-WEB-SEAR		
COMP-research-cluster-25k	Research Cluster (25k token budget)	SUB-12-EXA-WEB-SEAR		
COMP-research-validation	Research Validation	SUB-12-EXA-WEB-SEAR		
COMP-risks-mitigations	Risks & Mitigations	SUB-12-EXA-WEB-SEAR		
COMP-search-by-keyword	Search by keyword	SUB-12-EXA-WEB-SEAR	authentication	
COMP-secondary-persona-ma	Secondary Persona: Marcus - Development Team Lead	SUB-12-EXA-WEB-SEAR		
COMP-security-compliance	Security & Compliance ✅	SUB-12-EXA-WEB-SEAR	Authentication; **: Services only expose necessary ports; Authorization	
COMP-security-privacy	Security & Privacy	SUB-12-EXA-WEB-SEAR		
COMP-states-adaptations	States & Adaptations	SUB-12-EXA-WEB-SEAR		
COMP-test-6-search-functi	Test 6: Search Functionality	SUB-12-EXA-WEB-SEAR		
COMP-unified-search-3-6-m	Unified Search (3–6 Month Target)	SUB-12-EXA-WEB-SEAR	auth: "OIDC+API keys"	
COMP-week-3-ux-enhancemen	Week 3: UX Enhancement & Interactivity	SUB-12-EXA-WEB-SEAR		
COMP-mcp-capture-middlewa	mcp-capture-middleware.py - Capture Claude interactions	SUB-12-EXA-WEB-SEAR		
COMP-exa-your-testing-uti	🔧 EXA - Your Testing & Utility Toolkit	SUB-12-EXA-WEB-SEAR		
COMP-13-docgen-disabled-b	13. **docgen** (Disabled by Default)	SUB-13-SC-TROUBLESH		
COMP-backend-services	Backend Services	SUB-2-CORE-COMPONEN	Authentication; JWT	
COMP-critical-path-servic	Critical Path Services ✅	SUB-2-CORE-COMPONEN		
COMP-primary-tools-always	**Primary Tools (Always Active)**	SUB-2-EXA-RESEARCH-		
COMP-2-sc-implement	2. **/sc:implement**	SUB-2-EXA-RESEARCH-		
COMP-2-benefits	2. **Benefits**	SUB-2-EXA-RESEARCH-		
COMP-2-core-benefits	2. **Core Benefits**	SUB-2-EXA-RESEARCH-		
COMP-2-created-metamcp-se	2. **Created MetaMCP Server Interface**	SUB-2-EXA-RESEARCH-		
COMP-2-chat-collaborative	2. **chat** (Collaborative Development)	SUB-2-EXA-RESEARCH-		
COMP-2-context7-first-int	2. Context7-First Integration (MANDATORY)	SUB-2-EXA-RESEARCH-		
COMP-2-diff-window	2. Diff Window	SUB-2-EXA-RESEARCH-		
COMP-2-import-configurati	2. Import configurations	SUB-2-EXA-RESEARCH-		
COMP-2-integration-framew	2. Integration Framework	SUB-2-EXA-RESEARCH-	Model**: Least privilege with comprehensive audit logging; authentication	
COMP-2-leantime-adhd-feat	2. Leantime ADHD Features and API Coverage	SUB-2-EXA-RESEARCH-		
COMP-2-link-decision-to-i	2. Link decision to implementation files	SUB-2-EXA-RESEARCH-		
COMP-2-methodology	2. Methodology	SUB-2-EXA-RESEARCH-		
COMP-2-pymilvus-api-chang	2. PyMilvus API Changes ✅ FIXED	SUB-2-EXA-RESEARCH-		
COMP-docker-service-check	**Docker Service Checks**	SUB-2-SERVICE-LOOKU		
COMP-1-login-and-initial-	1. Login and Initial Configuration	SUB-2-SERVICE-LOOKU		
COMP-4-attention-and-hype	4. Attention and Hyperfocus Management	SUB-2-SERVICE-LOOKU		
COMP-4-celebration-and-re	4. Celebration and Reward System	SUB-2-SERVICE-LOOKU		
COMP-4-metamcp-security-a	4. MetaMCP Security and Workspace Configuration	SUB-2-SERVICE-LOOKU	model: client authentication, tool access authorization; considerations; best practices for MCP server deployments	
COMP-5-claude-code-deskto	5. Claude Code Desktop Extensions and MCP Integration	SUB-2-SERVICE-LOOKU		
COMP-5-test-execution-and	5. Test Execution and Validation ✅	SUB-2-SERVICE-LOOKU		
COMP-adhd-friendly-and-ac	ADHD-friendly and accessibility design principles	SUB-2-SERVICE-LOOKU		
COMP-acronyms-and-abbrevi	Acronyms and Abbreviations	SUB-2-SERVICE-LOOKU		
COMP-agent-types-and-spec	Agent Types and Specializations	SUB-2-SERVICE-LOOKU	Auditor**: Vulnerability scanning, OWASP compliance; _auditor]	
COMP-alerting-and-inciden	Alerting and Incident Response	SUB-2-SERVICE-LOOKU		
COMP-authentication-and-s	Authentication and Security Framework	SUB-2-SERVICE-LOOKU	JWT; relies on a **multi-layered OAuth 2.0 implementation** with JWT tokens for stateless validation. The recommended architecture includes:; OAuth	
COMP-calendar-sync-servic	Calendar-Sync Service	SUB-2-SERVICE-LOOKU		
COMP-capture-command-resu	Capture command result and context	SUB-2-SERVICE-LOOKU		
COMP-chat-and-diff-interf	Chat and Diff Interfaces	SUB-2-SERVICE-LOOKU		
COMP-color-schemes-stylin	Color schemes, styling, and themes create cohesive experiences	SUB-2-SERVICE-LOOKU		
COMP-common-issues-and-so	Common Issues and Solutions	SUB-2-SERVICE-LOOKU		
COMP-conclusion-and-strat	Conclusion and strategic recommendations	SUB-2-SERVICE-LOOKU		
COMP-connection-pooling-a	Connection Pooling and Caching	SUB-2-SERVICE-LOOKU		
COMP-core-service-record	Core Service Record	SUB-2-SERVICE-LOOKU		
COMP-core-technology-stac	Core Technology Stack and Implementation	SUB-2-SERVICE-LOOKU	authentication	
COMP-create-linked-decisi	Create linked decision and progress	SUB-2-SERVICE-LOOKU		
COMP-final-documentation-	Final Documentation and Launch	SUB-2-SERVICE-LOOKU		
COMP-integration-capabili	Integration capabilities and event-driven features	SUB-2-SERVICE-LOOKU		
COMP-internal-dns-resolut	Internal DNS resolution examples	SUB-2-SERVICE-LOOKU		
COMP-performance-and-exte	Performance and extensibility define long-term viability	SUB-2-SERVICE-LOOKU		
COMP-performance-trade-of	Performance trade-offs and benchmarks	SUB-2-SERVICE-LOOKU		
COMP-real-world-performan	Real-world performance and production readiness	SUB-2-SERVICE-LOOKU	features, and full documentation proving enterprise readiness.	
COMP-risks-and-mitigation	Risks and Mitigations	SUB-2-SERVICE-LOOKU		
COMP-scalability-targets-	Scalability targets and implementation roadmap	SUB-2-SERVICE-LOOKU	authentication	
