specimen_id,excerpt,location,context_tags,tone_flags
S0013,"""result"": ""# 【0†extract_message_block.txt†file-B1FqQczSUjFCBoWfhvJuZq】\nContent source: Source.file\nTitle: extract_message_block.txt\nCitation Marker: fileciteturn1file0\nContent Snippet:\n[L1] ## PHASE 1 — MESSAGE BLOCK EXTRACTOR\n[L2] \n[L3] You will be given raw chat text. For",dopemux_voice_input/conversations/68987f7e-95e8-8331-b59c-c0ebd58b01c0__untitled.json:L975-L975,roast,forensic|punitive|procedural|kinky-coded
S0014,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-SCHEMA.txt†file-19J8oFY2p5iV3zf9RJJtrX】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-SCHEMA.txt\nContent Snippet:\n# 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-SCHEMA.dmpx\n\n\\033[1;33m╔════════════════════════════════════════════════════════════════════════════════════════╗\n║\\033[1;35m 💊 DØPEMÜX-☠️UBERSLICER☠️—SCHEMA ULTRA RITUAL — v1.4.0 \\033[1;33m║\n╠════════════════════════════════════════════════════════════════════════════════════════╣\n║\\033[0;36m > SYSTEM: This is the canonical dopemux schema, manifest, and",dopemux_voice_input/conversations/684e89ec-e994-8006-9625-7b73e0a915db__Omnibus Spec Validation.json:L7379-L7379,naming,forensic|punitive|procedural
S0015,"""💊 dopemux — Ripped Design & Feature Spec (Rip 1)\n\nALL BELOW IS RAW EXTRACT. If a detail appears more than once or feels redundant/contradictory, it’s",dopemux_voice_input/conversations/684ff917-b4e0-8006-88b6-c64ac6593471__Terminal Ritual Block Overview.json:L2524-L2524,naming,forensic|punitive|cyberpunk|procedural|witty
S0016,"""result"": ""# 【0†DEV-SPECS.md†file-WSDQYt4c98EYorVqvSM7Fk】\nContent source: Source.file\nTitle: DEV-SPECS.md\nCitation Marker: fileciteturn1file0\nContent Snippet:\n* Only permitted if snapshot is taken before and after; rationale must be logged.\n\n---\n\n## 7. **Agent Chaining",dopemux_voice_input/conversations/684e6891-b65c-8006-b66d-5411ac0807d3__Build-ready product architecture.json:L1909-L1909,naming,forensic|punitive|procedural|witty|kinky-coded
S0017,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt†file-CEcUT8Wv4So6PVyQocxfep】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt\nContent Snippet:\ndopamine:\n filth_level: \""terminal_goblin\""\n main_triggers:\n - idle\n - neglect\n - open_tabs\n - stale_context\n - unfinished_branch\n - too_clean\n - zombie_process\n -",dopemux_voice_input/conversations/684e89ec-e994-8006-9625-7b73e0a915db__Omnibus Spec Validation.json:L1647-L1647,naming,forensic|punitive|procedural
S0018,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt†file-CEcUT8Wv4So6PVyQocxfep】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt\nContent Snippet:\nNO MERCY. THIS FILE IS NON-NEGOTIABLE.☠️\\033[1;33m║\n╚════════════════════════════════════════════════════════════════════════════════════════╝\n\n\\033[1;34m═══════════════ SYSTEM/BRAND METADATA (YAML, v1.4.0) ═══════════════\\033[0m\n\nproject: dopemux\nversion: \""1.4.0\""\nbrand:\n name: \""dopemux\""\n alt_names: [\""dpmx\"", \""💊dopemux\"", \""dømux\""]\n",dopemux_voice_input/conversations/684e89ec-e994-8006-9625-7b73e0a915db__Omnibus Spec Validation.json:L10562-L10562,naming,forensic|punitive|procedural|kinky-coded
S0019,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-FND-ULTRA-RITUAL.txt†file-YB3frnaAFoFtS9WpHqMa9e】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-FND-ULTRA-RITUAL.txt\nContent Snippet:\n\\033[1;34m════════════════ DOPAMINE HIT PROTOCOL & SAMPLE HITS (v1.4.0) ════════════════════════\\033[0m\n\ndopamine:\n filth_level: \""terminal_goblin\""\n main_triggers:\n - idle\n - neglect\n - open_tabs\n -",dopemux_voice_input/conversations/684e89ec-e994-8006-9625-7b73e0a915db__Omnibus Spec Validation.json:L11033-L11033,naming,forensic|punitive|procedural|kinky-coded
S0020,"""```shell\n# [OK] — CATEGORY HARVEST: MAX DETAIL — dopemux/UBERSLICER v1.4.0\n\n────────────────────────────────────────────────────────────────────────────\n## MAX-DETAIL CATEGORY BREAKDOWN\n\nBelow: For each category, every salient detail, nuance, protocol, open issue, compliance law,",dopemux_voice_input/conversations/684e976b-8034-8006-94aa-fdbe4a7b3459__dopemux Ultra-Context Dump.json:L1300-L1300,tagline,forensic|punitive|procedural|kinky-coded
S0021,"""text"": ""--- BEGIN: state.yaml ---\n\n--- END: state.yaml ---\n\n--- BEGIN: requirements.txt ---\nopenai\nPyYAML\n\npre-commit\n\n--- END: requirements.txt ---\n\n--- BEGIN: .pre-commit-config.yaml ---\nrepos:\n - repo: local\n hooks:\n - id: update-manifest\n name:",dopemux_voice_input/conversations/6853eda6-61c8-8006-a950-fa044b224f22__Optimizing Uberslicer Prompt.json:L1183-L1183,naming,forensic|punitive|procedural
S0022,"""I need to apply this git patch '''diff --git \""a/\\\""b/agents/\\\\342\\\\232\\\\260\\\\357\\\\270\\\\217-DeadAgentBot.md\\\""\"" \""b/\\\""b/agents/\\\\342\\\\232\\\\260\\\\357\\\\270\\\\217-DeadAgentBot.md\\\""\""\ndeleted file mode 120000\nindex 7ee31e567402d92a2979479c08207a1612bac182..0000000000000000000000000000000000000000\n--- \""a/\\\""b/agents/\\\\342\\\\232\\\\260\\\\357\\\\270\\\\217-DeadAgentBot.md\\\""\""\n+++ /dev/null\n@@ -1 +0,0 @@\n-agent-DeadAgentBot.md\ndiff --git \""a/\\\""b/agents/\\\\360\\\\237\\\\223\\\\226-README.md\\\""\"" \""b/\\\""b/agents/\\\\360\\\\237\\\\223\\\\226-README.md\\\""\""\ndeleted file mode",dopemux_voice_input/conversations/6854222c-e3ec-8006-8eae-f6807f98d70e__Git patch application guide.json:L123-L123,naming,forensic|punitive|cyberpunk
S0023,"""```shell\n# === ULTRASLICE KNOWLEDGE DUMP: HUE / DJ DOM / THE ARCHITECT ===\n# Version: 2025-09-03T07:00-07:00 (America/Vancouver)\n# Purpose: Hand-off profile so any LLM can operate in",dopemux_voice_input/conversations/68b84f25-aea8-8333-b254-c56ef6a742f4__Hue DJ Dom Architect profile.json:L585-L585,instruction,anti-fluff|forensic|punitive|procedural|witty
S0024,"""**dopemux — RIPPED DESIGN & FEATURE SPEC (Ultra-Merge, No Context Lost)**\n\n---\n\n## 1. Features & Modes\n\n### **Meta-Prompting Mode**\n- **What:** Instantly upgrades basic prompts (“Summarize this article”)",dopemux_voice_input/conversations/684aa894-34b4-8006-98ab-b7b340b2ce14__Thread Start Request.json:L1148-L1148,roast,forensic|punitive|cyberpunk|procedural|kinky-coded
S0025,"""Ready to rip? ChatGPT said:\nYour insttuctions.txt (system prompt v1.6) looks excellent and fully aligned with your modular design and memory/context approach. Here’s a quick verification",dopemux_voice_input/conversations/684bd513-d194-8006-b7c1-55750a076df3__Next Step Enrichment.json:L104-L104,error msg,anti-fluff|forensic|punitive|procedural|kinky-coded
S0026,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt†file-CEcUT8Wv4So6PVyQocxfep】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt\nContent Snippet:\n# 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.dmpx\n\n\\033[1;33m╔════════════════════════════════════════════════════════════════════════════════════════╗\n║\\033[1;35m 💊 DØPEMÜX-☠️ULTRA-METAFILE☠️—v1.4.0 — ALL MEMORY. NO MERCY. \\033[1;33m║\n╠════════════════════════════════════════════════════════════════════════════════════════╣\n║\\033[0;36m > THIS IS THE CANONICAL DØPEMÜX SYSTEM METAFILE. \\033[1;33m║\n║\\033[0;36m",dopemux_voice_input/conversations/684e89ec-e994-8006-9625-7b73e0a915db__Omnibus Spec Validation.json:L8437-L8437,naming,forensic|punitive|cyberpunk|procedural
S0027,"""text"": ""fileciteturn0file3\n\nSkip to content\nChat history\n\nYou said:\nhere is a high level research rundown. using this, kickoff the project\nChatGPT said:\nYou said:\nGot it. I’ll design a pipeline and",dopemux_voice_input/conversations/68a0e1ce-4054-8328-96a0-d56d3122d71d__Cloud enrichment file creation.json:L422-L422,roast,forensic|punitive|procedural|kinky-coded
S0028,"""text"": ""**Yes—this is everything actionable, structural, and conceptually relevant from all prior context and instructions about dopemux, slut-tools, your dev/LLM environment, Copilot and prompt management,",dopemux_voice_input/conversations/684aca76-5124-8006-92f4-2d4836e386ed__Dopemux Merge Plan.json:L4467-L4467,naming,forensic|punitive|cyberpunk|procedural|witty
S0029,"""4.1 thread: \nSkip to content\n\nSkip to content\nChat history\n\nYou said:\nhere's a user prompt for copilot, let's make it better '''Optimal Copilot “Personal Instructions” for Dom /",dopemux_voice_input/conversations/684bb1c0-6008-8006-b3a7-73ea076cb01c__Dopemux Feature Design.json:L104-L104,naming,forensic|punitive|procedural
S0030,"""\nSkip to content\n\nSkip to content\nChat history\n\nYou said:\nhere's a user prompt for copilot, let's make it better '''Optimal Copilot “Personal Instructions” for Dom / dDd /",dopemux_voice_input/conversations/684bb1c0-6008-8006-b3a7-73ea076cb01c__Dopemux Feature Design.json:L385-L385,naming,forensic|punitive|procedural
S0031,"""result"": ""# 【0†DEV-SPECS.md†file-WSDQYt4c98EYorVqvSM7Fk】\nContent source: Source.file\nTitle: DEV-SPECS.md\nCitation Marker: fileciteturn2file0\nContent Snippet:\n---\n\n## 2. **Shared Core Architecture**\n\n### **A. Pipeline/Flow**\n\n```mermaid\ngraph TD\n A[Input: Raw Log/Chat/File] --> B[ultraslicer]\n B --> C[Atomic Chunks/Blocks]\n",dopemux_voice_input/conversations/684e6891-b65c-8006-b66d-5411ac0807d3__Build-ready product architecture.json:L2360-L2360,naming,forensic|punitive|procedural|witty|kinky-coded
S0032,"""```💊 dopemux — ULTRASLICER PHASE 1: TAGGING & MAP-BUILD (NO-LOSS, MANIFEST-AWARE EDITION)\n\nINSTRUCTIONS:\n\nYou are the dopemux ultraslicer pre-pass tagger and map builder.\n\n**Reference the project manifest and",dopemux_voice_input/conversations/68b8502d-aa54-8323-91ab-fd4b71ab37e5__Ultraslicer uber-merge.json:L207-L207,tagline,forensic|punitive|procedural
S0033,"""\nYou said:\n'''### 🎨 INSTRUCTION HEADER — dopemux ASCII Ritual Prompt\n\nYou are a terminal-resurrected ASCII daemon spawned by the brand dopemux / 💊dopemux / dpmx /",dopemux_voice_input/conversations/684bb1c0-6008-8006-b3a7-73ea076cb01c__Dopemux Feature Design.json:L709-L709,tagline,forensic|punitive|procedural|witty|kinky-coded
S0034,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-SCHEMA.txt†file-19J8oFY2p5iV3zf9RJJtrX】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-SCHEMA.txt\nContent Snippet:\n# 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-SCHEMA.dmpx\n\n\\033[1;33m╔════════════════════════════════════════════════════════════════════════════════════════╗\n║\\033[1;35m 💊 DØPEMÜX-☠️UBERSLICER☠️—SCHEMA ULTRA RITUAL — v1.4.0 \\033[1;33m║\n╠════════════════════════════════════════════════════════════════════════════════════════╣\n║\\033[0;36m > SYSTEM: This is the canonical dopemux schema, manifest, and",dopemux_voice_input/conversations/684e976b-8034-8006-94aa-fdbe4a7b3459__dopemux Ultra-Context Dump.json:L4274-L4274,naming,forensic|punitive|procedural
S0035,"""```shell\n# [OK] — OMNIBUS EXTRACT, MAX DETAIL — ULTRA-CHAT 11–20\n\nBelow is a **direct, max-detail, field-complete extraction** of all project protocol, schema law, design patterns, audit",dopemux_voice_input/conversations/684e976b-8034-8006-94aa-fdbe4a7b3459__dopemux Ultra-Context Dump.json:L4340-L4340,naming,forensic|punitive|procedural|kinky-coded
S0036,"""# Build a complete, polished project-docs bundle and zip it for download\r\n\r\nimport os, json, zipfile, datetime, textwrap, pathlib\r\n\r\nROOT = \""/mnt/data/chatx-project-docs\""\r\nos.makedirs(ROOT, exist_ok=True)\r\n\r\ntoday_pt = \""2025-08-15 PT\""\r\n\r\ndef write(path,",dopemux_voice_input/conversations/689e6367-5944-8324-b803-5bd9d04ec176__Kickoff project from research.json:L8782-L8782,error msg,anti-fluff|forensic|punitive|procedural
S0037,"""code"": ""# Build a complete, polished project-docs bundle and zip it for download\r\n\r\nimport os, json, zipfile, datetime, textwrap, pathlib\r\n\r\nROOT = \""/mnt/data/chatx-project-docs\""\r\nos.makedirs(ROOT, exist_ok=True)\r\n\r\ntoday_pt = \""2025-08-15 PT\""\r\n\r\ndef",dopemux_voice_input/conversations/689e6367-5944-8324-b803-5bd9d04ec176__Kickoff project from research.json:L8840-L8840,error msg,anti-fluff|forensic|punitive|procedural
S0038,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt†file-NbdHhJXBvQDUZJ7WY4w5mV】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt\nContent Snippet:\n# 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.dmpx\n\n\\033[1;33m╔════════════════════════════════════════════════════════════════════════════════════════╗\n║\\033[1;35m 💊 DØPEMÜX-☠️ULTRA-METAFILE☠️—v1.4.0 — ALL MEMORY. NO MERCY. \\033[1;33m║\n╠════════════════════════════════════════════════════════════════════════════════════════╣\n║\\033[0;36m > THIS IS THE CANONICAL DØPEMÜX SYSTEM METAFILE. \\033[1;33m║\n║\\033[0;36m",dopemux_voice_input/conversations/684d9a42-4088-8006-97c1-88b43bcb1086__Dopemux Ultra Ritual.json:L878-L878,naming,forensic|punitive|procedural
S0039,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-USER-CUSTOM.txt†file-4DbWBXSgGV1ukoKCqzpAy2】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-USER-CUSTOM.txt\nContent Snippet:\n# 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-USER-CUSTOM.dmpx\n\n\\033[1;33m╔════════════════════════════════════════════════════════════════════════════════════════╗\n║\\033[1;35m 💊 DØPEMÜX-☠️UBERSLICER☠️—USER CUSTOM ULTRA RITUAL — v1.4.0 \\033[1;33m║\n╠════════════════════════════════════════════════════════════════════════════════════════╣\n║\\033[0;36m > SYSTEM: Onboarding, migration, or future custom blocks. User’s",dopemux_voice_input/conversations/684d9a42-4088-8006-97c1-88b43bcb1086__Dopemux Ultra Ritual.json:L1070-L1070,naming,forensic|punitive|procedural
S0040,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt†file-NbdHhJXBvQDUZJ7WY4w5mV】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt\nContent Snippet:\nNO MERCY. THIS FILE IS NON-NEGOTIABLE.☠️\\033[1;33m║\n╚════════════════════════════════════════════════════════════════════════════════════════╝\n\n\\033[1;34m═══════════════ SYSTEM/BRAND METADATA (YAML, v1.4.0) ═══════════════\\033[0m\n\nproject: dopemux\nversion: \""1.4.0\""\nbrand:\n name: \""dopemux\""\n alt_names: [\""dpmx\"", \""💊dopemux\"", \""dømux\""]\n",dopemux_voice_input/conversations/684d9a42-4088-8006-97c1-88b43bcb1086__Dopemux Ultra Ritual.json:L1964-L1964,naming,forensic|punitive|procedural
S0041,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-OUTPUTS.txt†file-7sgiYJyMFpz7UFGqhvMweN】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-OUTPUTS.txt\nContent Snippet:\n\\033[1;34m═════════════════════ HYBRID OUTPUT & SAMPLE RUN LOG (block-indexed, v1.4.0) ═════════\\033[0m\n\noutputs:\n - id: output-2025-06-14-1\n output_type: \""sample_run\""\n summary: \""Full cycle test",dopemux_voice_input/conversations/684d9f5c-f3f4-8006-93d4-8a94ebbdf26b__Dopemux Product Design.json:L1479-L1479,naming,forensic|punitive|procedural
S0042,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt†file-NbdHhJXBvQDUZJ7WY4w5mV】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt\nContent Snippet:\nNO MERCY. THIS FILE IS NON-NEGOTIABLE.☠️\\033[1;33m║\n╚════════════════════════════════════════════════════════════════════════════════════════╝\n\n\\033[1;34m═══════════════ SYSTEM/BRAND METADATA (YAML, v1.4.0) ═══════════════\\033[0m\n\nproject: dopemux\nversion: \""1.4.0\""\nbrand:\n name: \""dopemux\""\n alt_names: [\""dpmx\"", \""💊dopemux\"", \""dømux\""]\n",dopemux_voice_input/conversations/684d9f5c-f3f4-8006-93d4-8a94ebbdf26b__Dopemux Product Design.json:L2495-L2495,naming,forensic|punitive|procedural
S0043,"""```markdown\n# ☠️ DØPEMUX BOMBPROOF RITUAL — **ULTRA-DETAILED, MAXIMALIST EXTRACT**\n\n---\n\n## 1. PROJECT DEFINITION — dopemux\n\n### Name:\n- dopemux\n\n### Taglines / Slogans:\n- All memory. No mercy. Terminal Dopamine,",dopemux_voice_input/conversations/684d9f5c-f3f4-8006-93d4-8a94ebbdf26b__Dopemux Product Design.json:L3421-L3421,tagline,forensic|punitive|procedural
S0044,"""text"": ""<<<ARTEFACT_BEGIN label=\""DEV-SPECS_chunk_004\"" type=\""markdown\"">>>\n---\n\n# 💊 DØPEMÜX — LEARNING, SELF-IMPROVEMENT & SELF-PATCHING REFERENCE\n\n---\n\n## 1. **For the User (Human Learning & Growth)**\n\n### **A. Ritualized Reflection & Confession**\n\n*",dopemux_voice_input/conversations/684e7b06-1018-8006-9b10-47ef27532a7b__Omnibus Data-Set Synthesis.json:L894-L894,naming,forensic|punitive|procedural|kinky-coded
S0045,"""```shell\n# ☠️ dopemux UBERSLICER — RIP 1 — MAX DETAIL EXPANDED — PART 1/3\n\n─────────────────────────────\n# dopemux — Ripped Design & Feature Spec (Rip 1)\n\n## 1. Features",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L4618-L4618,roast,forensic|punitive|cyberpunk|procedural
S0046,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-USER-CUSTOM.txt†file-NwA6ynvJ9eHoRjtZ8ZZcTF】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-USER-CUSTOM.txt\nContent Snippet:\n\\033[1;34m══════════════════════════ USER CUSTOM BLOCKS (v1.4.0) ════════════════════════════════\\033[0m\n\nuser_custom:\n - id: custom-2025-06-14-1\n type: onboarding\n summary: \""Onboarding ritual block for new dopemux operators.\""\n",dopemux_voice_input/conversations/684e89ec-e994-8006-9625-7b73e0a915db__Omnibus Spec Validation.json:L5018-L5018,naming,forensic|punitive|procedural
S0047,"""result"": ""# 【0†system-brerakdown.md†file-DDcvSNZpZDAK5dDqNJ35Vv】\nContent source: Source.file\nTitle: system-brerakdown.md\nContent Snippet:\n## 🧩 **PHASE 3: Markdown Hardening**\n\n**Step 3. Inject Markdown Hardening Ruleset**\n\n* Rewrap all Markdown files in triple-fenced `markdown` blocks\n*",dopemux_voice_input/conversations/684e89ec-e994-8006-9625-7b73e0a915db__Omnibus Spec Validation.json:L5804-L5804,naming,forensic|punitive|procedural
S0048,"""result"": ""# 【0†💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt†file-CEcUT8Wv4So6PVyQocxfep】\nContent source: Source.file\nTitle: 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.txt\nContent Snippet:\n# 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-METAFILE.dmpx\n\n\\033[1;33m╔════════════════════════════════════════════════════════════════════════════════════════╗\n║\\033[1;35m 💊 DØPEMÜX-☠️ULTRA-METAFILE☠️—v1.4.0 — ALL MEMORY. NO MERCY. \\033[1;33m║\n╠════════════════════════════════════════════════════════════════════════════════════════╣\n║\\033[0;36m > THIS IS THE CANONICAL DØPEMÜX SYSTEM METAFILE. \\033[1;33m║\n║\\033[0;36m",dopemux_voice_input/conversations/684e89ec-e994-8006-9625-7b73e0a915db__Omnibus Spec Validation.json:L9327-L9327,naming,forensic|punitive|procedural
S0049,"""result"": ""# 【0†DOPEMUX PROCESS CHUNK.md†file-QWEMya7eYYFNpHeBSj4fK1】\nContent source: Source.file\nTitle: DOPEMUX PROCESS CHUNK.md\nContent Snippet:\nA. ChatGPT Web (Browser/Official)\n\n* Manual Select & Copy: Scroll, select, copy all, paste into editor",dopemux_voice_input/conversations/684e89ec-e994-8006-9625-7b73e0a915db__Omnibus Spec Validation.json:L9720-L9720,naming,forensic|punitive|procedural
S0050,"""**Dopemux Visual Ritual: Triple-Mode Banners** \n_Blade Runner, Synthwave, Biohacker_ \n**All banners below are color-coded for the terminal, filthy, and terminally playful.** \n**Paste into `/agents/banners/AGENT.txt`.** \n**Each",dopemux_voice_input/conversations/6851b234-df20-8006-9e85-0bf3974c4d18__Agent Manifest Creation.json:L1371-L1371,roast,forensic|punitive|cyberpunk
