specimen_id,excerpt,location,context_tags,tone_flags,surface,voice_mode,usable_as
S0059,"""**Understood, Captain Filth:** \nYou want **every single core file** to be a \""maximal dopemux fusion\""—meaning:\n\n- **Every file is self-contained, lossless, and maximal**: \n - Ritual",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L2455-L2455,naming,forensic|punitive|procedural,cli,BannerOneLiner,tagline
S0072,"""```markdown\n# 💊 DØPEMÜX — OMNIBUS DATA-SET SPEC v1.2 (Forensic All-Angle Synthesis)\n\n---\n\n## 🔥 Executive Snapshot\n\n**dopemux** is a forensic, lossless, terminal-first memory extraction, tagging, and dopamine-injecting system",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L657-L657,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0073,"""**Objective:** create a single, thorough “operator profile + LLM operating manual” for Hue / DJ Dom / “the Architect” so any LLM can immediately emulate",dopemux_voice_input/conversations/68b84f1f-e478-8321-9d4d-038e9385dba6__Operator profile manual.json:L1112-L1112,instruction,forensic|procedural|kinky-coded,cli,ClinicalForensics,instruction
S0076,"""replacement"": ""## 1. PRODUCT DEFINITION — dopemux\n\n- **Name:** dopemux\n- **Tagline:**\n - All memory. No mercy. Terminal Dopamine, Filth Edition.\n\n- **Core Purpose:**\n - Lossless, audit-grade project",dopemux_voice_input/conversations/684d9f5c-f3f4-8006-93d4-8a94ebbdf26b__Dopemux Product Design.md:L371-L371,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0077,"""replacement"": ""## 1. PRODUCT DEFINITION — dopemux\n\n- **Name:** dopemux\n\n- **Tagline:**\n - All memory. No mercy. Terminal Dopamine, Filth Edition.\n - If it’s not here, it",dopemux_voice_input/conversations/684d9f5c-f3f4-8006-93d4-8a94ebbdf26b__Dopemux Product Design.md:L424-L424,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0078,"""```shell\n[OK] EXPORTING: FULL DS-L2.md (CANONICAL MASTER SPEC)\n\n────────────────────────────────────────────────────────────────────────────\n\n# 💊 DØPEMÜX — MASTER SPEC (DS-L2.md)\n\n---\n\n## 🔥 Executive Snapshot\n\ndopemux is a terminal-native, forensic, dopamine-maximal context and audit engine",dopemux_voice_input/conversations/684e7b06-1018-8006-9b10-47ef27532a7b__Omnibus Data-Set Synthesis.json:L4538-L4538,roast,forensic|punitive|procedural|kinky-coded,cli,UXScold,roast
S0079,"""text"": ""<<<ARTEFACT_BEGIN label=\""rip1_chunk_002\"" type=\""markdown\"">>>\n---\n\n## 2. Architecture & Design Rationale\n\n* **Modular CLI/Terminal-Native Core**\n *Each feature is its own Python/bash module; logic is designed for easy extension",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L1751-L1751,roast,forensic|punitive|cyberpunk|procedural,cli,UXScold,roast
S0081,"""What's this file '''\n# 💊 DØPEMÜX — MASTER SPEC (DS-L2.md)\n\n---\n\n## 🔥 Executive Snapshot\n\ndopemux is a terminal-native, forensic, dopamine-maximal context and audit engine for ADHD-fueled, agent-driven",dopemux_voice_input/conversations/684ff917-b4e0-8006-88b6-c64ac6593471__Terminal Ritual Block Overview.json:L2981-L2981,roast,forensic|punitive|procedural|kinky-coded,cli,UXScold,roast
S0083,"""text"": ""# 💊 dopemux — PROJECT MANIFEST (v1.3.0)\n# ☠️ ALL MEMORY. NO MERCY. THIS FILE IS NON-NEGOTIABLE. ☠️\n# If you break ritual, skip a tag,",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L1484-L1484,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0088,"""Perfect. \n**You want:**\n1. **A single, maximal, ritualized dopemux metafile** (metafile.ultra or metafile.yaml, but now including all fields, roast, and protocol—filthy and audit-proof)\n2. **THEN, all other",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L2540-L2540,naming,forensic|punitive|procedural,cli,BannerOneLiner,tagline
S0090,"""PERFECT. \nThat is **absolutely on-brand** and fully dopemux maximal.\n\n**File naming:** \n```\n# 💊DØPEMÜX-☠️UBERSLICER☠️—TFE-DEVLOG.dmpx\n```\n**Then ANSI ritual block immediately below.**\n\n**Continue this for every core file:** \n- The `#",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L2965-L2965,naming,forensic|punitive|procedural,cli,BannerOneLiner,tagline
S0091,"""Here is your next **maximal, metafile-driven, ritual-fusion file:** \n**TFE-INSTRUCTIONS.dmpx** \n— includes the ANSI ritual, all protocol, commands, phase details, compliance, and dopamine logic. No char",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L3050-L3050,naming,forensic|punitive|procedural,cli,BannerOneLiner,tagline
S0092,"""Here is your **maximal, ritualized, canonical metafile**: \n**TFE-METAFILE.dmpx** \n— pure dopemux: ANSI ritual, complete YAML, brand, protocol, directory, tags, dopamine, schema, compliance, and terminal filth.",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L3220-L3220,naming,forensic|punitive|procedural,cli,BannerOneLiner,tagline
S0093,"""**Batch mode engaged.** \nYou’ll get each **LLM-optimized, maximal dopemux `.dmpx` file**—one per message—each with:\n\n- Ritual ANSI header \n- All structured schema/fields/protocol \n- Merged blocks where",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L4103-L4103,naming,forensic|punitive|procedural,cli,BannerOneLiner,tagline
S0095,"""**Absolutely. You’re right:** \nThe **TFE-INSTRUCTION.dmpx** should set the bar—**the most explicit, self-contained, maximal, and LLM-friendly ritual in the stack.** \nIt must include: \n- Complete ANSI",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L4358-L4358,naming,forensic|punitive|procedural,cli,BannerOneLiner,tagline
S0096,"""**Batch mode: dopemux v1.4.0, maximal, LLM-optimized, ritual complete.** \nEach `.dmpx` file will have:\n- Explicit ritual ANSI header (`v1.4.0`)\n- All structured blocks (schema, protocol, dopamine, compliance,",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L4528-L4528,naming,forensic|punitive|procedural,cli,BannerOneLiner,tagline
S0108,"""Here’s a **dopemux-style extraction of every feature, ritual, prompt, and architectural element relating to learning, self-improvement, and self-patching**—for both the *user* and *dopemux as a",dopemux_voice_input/conversations/684e6d76-8554-8006-8020-2d6d852c4c2e__Spec Extraction Request.json:L2019-L2019,roast,forensic|punitive|procedural|kinky-coded,cli,UXScold,roast
S0110,"""```markdown\n# 💊 DØPEMÜX — OMNIBUS CANONICAL BUILD SPEC (UBERSLICER OMNIBUS v1.2)\n*Omni-synthesized, category-complete, all artefact blocks cross-merged (src: TFE-FND-ULTRA-RITUAL.txt, TFE-SCHEMA.txt, TFE-INDEX.txt, TFE-METAFILE.txt, TFE-AUDIT-ULTRA-RITUAL.txt, TFE-DEVLOG.txt, TFE-OUTPUTS.txt, TFE-DESIGN-PATTERNS.txt,",dopemux_voice_input/conversations/684e7b06-1018-8006-9b10-47ef27532a7b__Omnibus Data-Set Synthesis.json:L657-L657,tagline,forensic|punitive|procedural,web,BannerOneLiner,banner
S0113,"""text"": ""<<<ARTEFACT_BEGIN label=\""rip1_chunk_004\"" type=\""markdown\"">>>\n---\n\n# 💊 dopemux — Ripped Design & Feature Spec (Rip 2)\n\n---\n\n## 1. Features & Modes\n\n* **Forensic Chat Thread Extraction**: Extract all messages",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L1671-L1671,error msg,forensic|procedural,cli,ClinicalForensics,error
S0114,"""text"": ""<<<ARTEFACT_BEGIN label=\""rip1_chunk_006\"" type=\""markdown\"">>>\n# dopemux — Ripped Design & Feature Spec (Rip 5)\n\n## 1. Features & Modes\n\n* **ULTRASLICER STACKED SPEC EXTRACTOR**: User pastes the ultra-optimized,",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L2273-L2273,error msg,forensic|procedural,cli,ClinicalForensics,error
S0173,"""**Absolutely. Here’s a maximal, dopemux-compliant, v1.4.0 priming prompt** for the **very first run** in your project. \nThis is designed for ChatGPT/LLM use, but it’s also",dopemux_voice_input/conversations/684cc2a1-3a1c-8006-a40c-b7b6bbda6bf1__UBERSLICER Extraction Ritual.json:L5463-L5463,naming,forensic|punitive|procedural,cli,BannerOneLiner,tagline
S0175,"""what are the '''\n# 💊 DØPEMÜX — MASTER SPEC (DS-L2.md)\n\n---\n\n## 🔥 Executive Snapshot\n\ndopemux is a terminal-native, forensic, dopamine-maximal context and audit engine for ADHD-fueled, agent-driven",dopemux_voice_input/conversations/684ff917-b4e0-8006-88b6-c64ac6593471__Terminal Ritual Block Overview.json:L2319-L2319,roast,forensic|punitive|procedural,cli,UXScold,roast
S0176,"""**Objective:** Apply the approved spec patches by emitting the fully updated files, then show you exactly how to use the one-liner locally.\n\nQuick note: I don’t",dopemux_voice_input/conversations/68a26602-0b8c-8331-ba6b-1806389a9e9c__Unfreeze deep research.json:L12705-L12705,instruction,anti-fluff|forensic|punitive|procedural,web,ClinicalForensics,instruction
S0177,"""**Objective:** give you the absolute fewest steps to land the spec changes—one paste, one run, one commit—on macOS (kitty + zsh).\n\n**Assumptions:** you’re at the repo",dopemux_voice_input/conversations/68a26602-0b8c-8331-ba6b-1806389a9e9c__Unfreeze deep research.json:L15137-L15137,instruction,anti-fluff|forensic|punitive|procedural,cli,ClinicalForensics,instruction
S0178,"""**Objective:** Provide the full, updated contents of each spec file so you can paste them locally and commit.\n\n**Assumptions & open questions:** \n- Target files: `INTERFACES.md`,",dopemux_voice_input/conversations/68a26602-0b8c-8331-ba6b-1806389a9e9c__Unfreeze deep research.json:L21158-L21158,instruction,anti-fluff|forensic|punitive|procedural,cli,ClinicalForensics,instruction
S0179,"""text"": ""updated_interfaces = \""\""\""Title: Interfaces & Contracts \nStatus: Draft | Owner: You | Last Updated: 2025-08-17 PT\n\nPrinciples\n- Local-first; deterministic; provenance; mandatory pre-cloud redaction; evidence-based outputs;",dopemux_voice_input/conversations/68a26602-0b8c-8331-ba6b-1806389a9e9c__Unfreeze deep research.json:L21643-L21643,instruction,anti-fluff|forensic|punitive|procedural,cli,ClinicalForensics,instruction
S0181,"""Objective: show you exactly what changed (and what, if anything, was lost) by giving a unified diff for each file and then the full, final",dopemux_voice_input/conversations/68a26602-0b8c-8331-ba6b-1806389a9e9c__Unfreeze deep research.json:L22940-L22940,instruction,anti-fluff|forensic|punitive|procedural,cli,ClinicalForensics,instruction
S0182,"""```markdown\n# ☠️ DØPEMUX ULTRA-RITUAL — **LAW OF THE FILTH DAEMON** \n> This document is not a suggestion. This is the binding law of dopemux. \n>",dopemux_voice_input/conversations/684d9f5c-f3f4-8006-93d4-8a94ebbdf26b__Dopemux Product Design.json:L3502-L3502,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0183,"""**Understood. Here’s a **complete extraction and canonical reference** for all **prompt engineering, meta-prompts, embedded prompt instructions, and prompt-tuning techniques** present in the DØPEMÜX forensic spec.",dopemux_voice_input/conversations/684e6d76-8554-8006-8020-2d6d852c4c2e__Spec Extraction Request.json:L1005-L1005,naming,forensic|punitive|procedural|kinky-coded,cli,BannerOneLiner,tagline
S0186,"""Terminal dopamine engine, **all canonical prompts loaded**. \nThis is a direct extraction and *meta-synthesis* from your ritualized, block-indexed prompt set, system schema, and design files",dopemux_voice_input/conversations/6853f191-9014-8006-9f64-6cee49ad227e__Ultraslicer Overview.json:L1418-L1418,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0189,"""**Acknowledged.** \nI have fully ingested the massive, zero-loss spec dump you provided—`dopemux_forensic_spec_FULL copy.md`. \nGiven the directive, every detail, fragment, and contradiction is surfaced—no paraphrase, no",dopemux_voice_input/conversations/684e6d76-8554-8006-8020-2d6d852c4c2e__Spec Extraction Request.json:L417-L417,tagline,forensic|punitive|procedural|witty|kinky-coded,cli,BannerOneLiner,banner
S0190,"""Perfect. Here are **detailed, canonical schema files** for every major DØPEMÜX data structure—**chunk extraction, memory, devlog, tags, audit, persona, plugin, config, and extension files**—with strict",dopemux_voice_input/conversations/684e6d76-8554-8006-8020-2d6d852c4c2e__Spec Extraction Request.json:L585-L585,naming,forensic|punitive|procedural|kinky-coded,cli,BannerOneLiner,tagline
S0191,"""text"": ""<<<ARTEFACT_BEGIN label=\""DEV-SPECS_chunk_001\"" type=\""markdown\"">>>\n**Acknowledged.**\nI have fully ingested the massive, zero-loss spec dump you provided—`dopemux_forensic_spec_FULL copy.md`.\nGiven the directive, every detail, fragment, and contradiction is surfaced—no paraphrase,",dopemux_voice_input/conversations/684e7b06-1018-8006-9b10-47ef27532a7b__Omnibus Data-Set Synthesis.json:L1014-L1014,naming,forensic|punitive|procedural|witty|kinky-coded,cli,BannerOneLiner,tagline
S0192,"""text"": ""<<<ARTEFACT_BEGIN label=\""rip1_chunk_003\"" type=\""markdown\"">>>\n# ultra_prompt.md — v4.1\n[Intro and context schema; schema matches system.md but intro reworded for better context recall]\n\n\n\t•\t[Why] Reference for prompt design; critical",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L1711-L1711,tagline,forensic|procedural|witty|kinky-coded,cli,BannerOneLiner,banner
S0194,"""```shell\n# ☠️ dopemux UBERSLICER — MAX DETAIL PER CATEGORY — FULL TECHNICAL BREAKDOWN\n\n─────────────────────────────\n### 1. Extraction Engine\n\n*Purpose* \nUltra-granular, forensic extraction system that processes raw artefacts (chat",dopemux_voice_input/conversations/684e838c-4eac-8006-b7bf-af5bb5901fce__Dopemux Omnibus Data-Spec.json:L6194-L6194,naming,forensic|punitive|procedural,cli,BannerOneLiner,tagline
S0198,"""```shell\n# DØPEMUX OMNIBUS TERMINAL — PHASE 2 PROMPT REVIEW\n\n> [OK] — PHASE 2: Hybrid Output & Synthesis Protocol — STATUS: RITUAL-COMPLIANT (v1.4.0)\n> [CONTEXT] Reviewing phase",dopemux_voice_input/conversations/684ffda5-9c74-8006-a015-0bedc66da4de__Dopemux Phase 2 Review.json:L657-L657,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0199,"""```shell\n# 💊 DØPEMUX — FULL PROJECT FILE SET (v1.4.0+) — **UPGRADED & OPTIMIZED**\n\n─────────────────────────────────────────────────────────────\n# 0️⃣ **OVERVIEW**\n- All canonical project files, fully ritualized, filth/audit escalated, and pipeline-optimized.\n-",dopemux_voice_input/conversations/684ffda5-9c74-8006-a015-0bedc66da4de__Dopemux Phase 2 Review.json:L1671-L1671,tagline,forensic|punitive|procedural,cli,BannerOneLiner,banner
S0200,"""run ULTRASLICE PROJECT EDITION: '''\n\n# 💊 DØPEMÜX ULTRASLICER — O3 BUILD INSTRUCTIONS (VS CODE RITUAL EDITION)\n\n---\n\n## 1. **Directory Structure**\n\n```\ndopemux_ultraslicer/\n├── dopemux_ultraslicer.py\n├── dopemux_utils.py\n├── dopemux_terminal.sh\n├── dopemux_terminal.zsh\n├── config.yaml\n├── README.md\n└──",dopemux_voice_input/conversations/68505aed-0340-8006-9ebb-fcfe52adfe5c__Ultraslice Project Setup.json:L146-L146,naming,forensic|punitive|procedural|kinky-coded,web,BannerOneLiner,tagline
S0201,"""# Local Forensic Chat Analysis Pipeline Design (DØPEMÜX System)\n\n## Overview\n\nWe propose a **local Python-based forensic chat analysis pipeline** for iMessage conversations, following the DØPEMÜX multi-phase",dopemux_voice_input/conversations/68987f7e-95e8-8331-b59c-c0ebd58b01c0__untitled.json:L22597-L22597,roast,forensic|punitive|procedural|kinky-coded,cli,UXScold,roast
S0202,"""is this a better approach? ```Perfect. I’ll design a local Python pipeline that processes iMessage-extracted PDFs (you’re on the right, they’re on the left), converts",dopemux_voice_input/conversations/689e6367-5944-8324-b803-5bd9d04ec176__Kickoff project from research.json:L611-L611,roast,forensic|punitive|procedural|kinky-coded,cli,UXScold,roast
S0203,"""ok so for now let's just collect the info we need for learnings and dopamine hits with he idea we will build this out. ok",dopemux_voice_input/conversations/684bcb50-7fb0-8006-853d-69d042e73176__Dopemux Brand Breakdown.json:L807-L807,tagline,forensic|punitive|cyberpunk|procedural|witty,web,BannerOneLiner,banner
