label	exit_code	stdout_path	stderr_path	command
git diff check pre-stage	0	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/validate-git-diff-check-prestage.txt	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/validate-git-diff-check-prestage.txt.stderr	git diff --check
git diff cached check pre-stage	0	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/validate-git-diff-cached-check-prestage.txt	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/validate-git-diff-cached-check-prestage.txt.stderr	git diff --cached --check
changed files status pre-stage	0	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/changed-files-status-prestage.txt	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/changed-files-status-prestage.txt.stderr	git status --short
changed files status pre-stage expanded	0	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/changed-files-status-prestage-expanded.txt	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/changed-files-status-prestage-expanded.txt.stderr	git status --short --untracked-files=all
allowlist check pre-stage expanded	0	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/allowlist-check-prestage-expanded.json		computed from git status --short --untracked-files=all
final proof json parse	0	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/final-json-tool.txt	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/final-json-tool.txt.stderr	python -m json.tool out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/PROOF.json >/dev/null
final packet schema validation	0	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/final-packet-schema.txt	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/final-packet-schema.txt.stderr	python - <<'PY2'
import json
from pathlib import Path
from jsonschema import Draft7Validator
schema = json.loads(Path('docs/03-reference/spec/dopetask/dopetask-canonical-spec.json').read_text())
packet = json.loads(Path('task-packets/generated/TP-DMX-PR-QUEUE-BLOCKERS-001.json').read_text())
errors = sorted(Draft7Validator(schema).iter_errors(packet), key=lambda e: list(e.path))
assert not errors, '\n'.join(f'{list(e.path)}: {e.message}' for e in errors)
print('PASS')
PY2
final git diff check	0	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/final-git-diff-check.txt	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/final-git-diff-check.txt.stderr	git diff --check
final git diff cached check	0	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/final-git-diff-cached-check.txt	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/final-git-diff-cached-check.txt.stderr	git diff --cached --check
final pre-commit	0	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/pre-commit.txt	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/pre-commit.txt.stderr	pre-commit run --files $(git diff --cached --name-only)
final git status	0	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/final-git-status.txt	out/proofs/TP-DMX-PR-QUEUE-BLOCKERS-001/final-git-status.txt.stderr	git status -sb
