src/dopemux/cli.py:19:import signal
src/dopemux/cli.py:51:from .adhd import AttentionMonitor, ContextManager, TaskDecomposer
src/dopemux/cli.py:142:    "focused": {
src/dopemux/adhd/attention_monitor.py:396:        avg_focus = sum(m.focus_score for m in metrics_list) / len(metrics_list)
src/dopemux/adhd/attention_monitor.py:397:        focused_time_ratio = sum(
src/dopemux/adhd/attention_monitor.py:406:            avg_focus * 0.4 + focused_time_ratio * 0.4 + low_error_ratio * 0.2
src/dopemux/adhd/attention_monitor.py:418:                    "Consider taking a short break to reset focus",
src/dopemux/adhd/attention_monitor.py:427:                    "You've been in deep focus for a while - consider a break",
src/dopemux/adhd/attention_monitor.py:433:        elif current_metrics["focus_score"] < 0.5:
src/dopemux/adhd/attention_monitor.py:436:                    "Low focus detected - try the Pomodoro technique",
src/dopemux/adhd/attention_monitor.py:468:            "focus_score": 0.5,
docs/planes/pm/SUPERVISOR.md:24:- ADHD-first: default outputs minimal, progressive disclosure only.
services/adhd_engine/workspace_watcher.py:83:        # Track unchanged files for hyperfocus detection
services/adhd_engine/workspace_watcher.py:168:        """Check for files unchanged for extended periods (hyperfocus indicator)."""
services/adhd_engine/workspace_watcher.py:175:                    # File unchanged for >30 min - possible hyperfocus
services/adhd_engine/workspace_watcher.py:189:                    logger.info(f"🔥 Possible hyperfocus: {file_path} unchanged for 30+ min")
services/task-orchestrator/event_coordinator.py:40:    FOCUS_MODE_CHANGED = "focus_mode_changed"
services/task-orchestrator/event_coordinator.py:75:    focus_required: bool = False
services/task-orchestrator/event_coordinator.py:98:    """Telemetry for event suppression analysis."""
services/task-orchestrator/event_coordinator.py:102:    events_suppressed: int = 0
services/task-orchestrator/event_coordinator.py:104:    # Per-rule suppression counters (6 suppression rules)
services/task-orchestrator/event_coordinator.py:105:    suppressed_by_custom_filter: int = 0
services/task-orchestrator/event_coordinator.py:106:    suppressed_by_deep_focus_priority: int = 0
services/task-orchestrator/event_coordinator.py:107:    suppressed_by_deep_focus_interrupt: int = 0
services/task-orchestrator/event_coordinator.py:108:    suppressed_by_energy_level: int = 0
services/task-orchestrator/event_coordinator.py:109:    suppressed_by_flood: int = 0
services/task-orchestrator/event_coordinator.py:110:    suppressed_by_expiry: int = 0
services/task-orchestrator/event_coordinator.py:144:        self.current_focus_mode = "normal"
services/task-orchestrator/event_coordinator.py:156:            "adhd_accommodations": 0,
services/task-orchestrator/event_coordinator.py:160:        # Suppression telemetry
services/task-orchestrator/event_coordinator.py:161:        self.suppression_telemetry = SuppressionTelemetry()
services/task-orchestrator/event_coordinator.py:202:        self.register_processor(EventType.FOCUS_MODE_CHANGED, self._process_focus_mode_changed)
services/task-orchestrator/event_coordinator.py:226:        # Start telemetry logger
services/task-orchestrator/event_coordinator.py:227:        telemetry_worker = asyncio.create_task(self._telemetry_logger())
services/task-orchestrator/event_coordinator.py:228:        self.workers.append(telemetry_worker)
services/task-orchestrator/event_coordinator.py:230:        logger.info(f"👥 Started {len(self.workers)} event processing workers (including telemetry logger)")
services/task-orchestrator/event_coordinator.py:254:    async def _telemetry_logger(self) -> None:
services/task-orchestrator/event_coordinator.py:255:        """Background task to log suppression telemetry every 60 seconds."""
services/task-orchestrator/event_coordinator.py:262:                report = self.get_suppression_report()
services/task-orchestrator/event_coordinator.py:269:                    f"suppressed={summary['events_suppressed']}, "
services/task-orchestrator/event_coordinator.py:270:                    f"signal/noise={summary['signal_noise_ratio']:.2f}, "
services/task-orchestrator/event_coordinator.py:271:                    f"suppression_rate={summary['suppression_rate_pct']:.1f}%"
services/task-orchestrator/event_coordinator.py:296:                self._record_suppression(event, "expiry")
services/task-orchestrator/event_coordinator.py:389:            self.suppression_telemetry.events_received += 1
services/task-orchestrator/event_coordinator.py:394:            if event_type_str not in self.suppression_telemetry.per_event_type:
services/task-orchestrator/event_coordinator.py:395:                self.suppression_telemetry.per_event_type[event_type_str] = {"received": 0, "suppressed": 0}
services/task-orchestrator/event_coordinator.py:396:            self.suppression_telemetry.per_event_type[event_type_str]["received"] += 1
services/task-orchestrator/event_coordinator.py:399:            if priority_str not in self.suppression_telemetry.per_priority:
services/task-orchestrator/event_coordinator.py:400:                self.suppression_telemetry.per_priority[priority_str] = {"received": 0, "suppressed": 0}
services/task-orchestrator/event_coordinator.py:401:            self.suppression_telemetry.per_priority[priority_str]["received"] += 1
services/task-orchestrator/event_coordinator.py:406:                    self._record_suppression(event, "custom_filter")
services/task-orchestrator/event_coordinator.py:409:            # Check focus mode restrictions
services/task-orchestrator/event_coordinator.py:410:            if self.current_focus_mode == "deep":
services/task-orchestrator/event_coordinator.py:411:                # In deep focus, only allow critical events
services/task-orchestrator/event_coordinator.py:413:                    self._record_suppression(event, "deep_focus_priority")
services/task-orchestrator/event_coordinator.py:418:                    self._record_suppression(event, "deep_focus_interrupt")
services/task-orchestrator/event_coordinator.py:425:                    self._record_suppression(event, "energy_level")
services/task-orchestrator/event_coordinator.py:432:                self._record_suppression(event, "flood")
services/task-orchestrator/event_coordinator.py:436:            self.suppression_telemetry.events_passed += 1
services/task-orchestrator/event_coordinator.py:453:    def _record_suppression(self, event: CoordinationEvent, rule: str) -> None:
services/task-orchestrator/event_coordinator.py:454:        """Record event suppression with rule and metadata."""
services/task-orchestrator/event_coordinator.py:455:        # Increment overall suppression counter
services/task-orchestrator/event_coordinator.py:456:        self.suppression_telemetry.events_suppressed += 1
services/task-orchestrator/event_coordinator.py:459:        rule_attr = f"suppressed_by_{rule}"
services/task-orchestrator/event_coordinator.py:460:        current_count = getattr(self.suppression_telemetry, rule_attr, 0)
services/task-orchestrator/event_coordinator.py:461:        setattr(self.suppression_telemetry, rule_attr, current_count + 1)
services/task-orchestrator/event_coordinator.py:463:        # Update per-event-type suppression
services/task-orchestrator/event_coordinator.py:465:        if event_type_str in self.suppression_telemetry.per_event_type:
services/task-orchestrator/event_coordinator.py:466:            self.suppression_telemetry.per_event_type[event_type_str]["suppressed"] += 1
services/task-orchestrator/event_coordinator.py:468:        # Update per-priority suppression
services/task-orchestrator/event_coordinator.py:470:        if priority_str in self.suppression_telemetry.per_priority:
services/task-orchestrator/event_coordinator.py:471:            self.suppression_telemetry.per_priority[priority_str]["suppressed"] += 1
services/task-orchestrator/event_coordinator.py:483:                await self._trigger_adhd_decomposition(event)
services/task-orchestrator/event_coordinator.py:532:                "focus": "Sprint execution",
services/task-orchestrator/event_coordinator.py:534:                "adhd_optimized": True
services/task-orchestrator/event_coordinator.py:585:            self.metrics["adhd_accommodations"] += 1
services/task-orchestrator/event_coordinator.py:597:                # Suggest focus mode
services/task-orchestrator/event_coordinator.py:598:                focus_suggestion = {
services/task-orchestrator/event_coordinator.py:601:                    "suggestion": "Consider enabling focus mode to reduce distractions",
services/task-orchestrator/event_coordinator.py:602:                    "recommended_action": "focus_mode_deep"
services/task-orchestrator/event_coordinator.py:605:                await self._emit_focus_suggestion(focus_suggestion)
services/task-orchestrator/event_coordinator.py:616:    async def _trigger_adhd_decomposition(self, event: CoordinationEvent) -> None:
services/task-orchestrator/event_coordinator.py:624:                target_systems=["adhd_decomposer"],
services/task-orchestrator/event_coordinator.py:627:                    "automation_type": "adhd_decomposition",
services/task-orchestrator/event_coordinator.py:676:                "focus_area": sprint_context.get("focus", "Sprint execution"),
services/task-orchestrator/event_coordinator.py:679:                "adhd_optimizations": {
services/task-orchestrator/event_coordinator.py:783:        await self._emit_focus_suggestion(
services/task-orchestrator/event_coordinator.py:846:    async def _emit_focus_suggestion(self, suggestion: Dict[str, Any]) -> None:
services/task-orchestrator/event_coordinator.py:847:        """Emit focus mode suggestion."""
services/task-orchestrator/event_coordinator.py:850:                channel = f"events:focus-suggestions:{self.workspace_id}"
services/task-orchestrator/event_coordinator.py:852:            self.metrics["focus_suggestions_emitted"] = (
services/task-orchestrator/event_coordinator.py:853:                self.metrics.get("focus_suggestions_emitted", 0) + 1
services/task-orchestrator/event_coordinator.py:856:            logger.error("Failed to emit focus suggestion: %s", exc)
services/task-orchestrator/event_coordinator.py:889:    def get_suppression_report(self) -> Dict[str, Any]:
services/task-orchestrator/event_coordinator.py:890:        """Get comprehensive suppression telemetry report."""
services/task-orchestrator/event_coordinator.py:891:        t = self.suppression_telemetry
services/task-orchestrator/event_coordinator.py:893:        # Calculate signal/noise ratio
services/task-orchestrator/event_coordinator.py:894:        signal_noise_ratio = (
services/task-orchestrator/event_coordinator.py:897:        suppression_rate_pct = (
services/task-orchestrator/event_coordinator.py:898:            (t.events_suppressed / t.events_received * 100) if t.events_received > 0 else 0.0
services/task-orchestrator/event_coordinator.py:909:                "events_suppressed": t.events_suppressed,
services/task-orchestrator/event_coordinator.py:910:                "signal_noise_ratio": round(signal_noise_ratio, 3),
services/task-orchestrator/event_coordinator.py:911:                "suppression_rate_pct": round(suppression_rate_pct, 1),
services/task-orchestrator/event_coordinator.py:915:                "custom_filter": t.suppressed_by_custom_filter,
services/task-orchestrator/event_coordinator.py:916:                "deep_focus_priority": t.suppressed_by_deep_focus_priority,
services/task-orchestrator/event_coordinator.py:917:                "deep_focus_interrupt": t.suppressed_by_deep_focus_interrupt,
services/task-orchestrator/event_coordinator.py:918:                "energy_level": t.suppressed_by_energy_level,
services/task-orchestrator/event_coordinator.py:919:                "flood": t.suppressed_by_flood,
services/task-orchestrator/event_coordinator.py:920:                "expiry": t.suppressed_by_expiry
services/task-orchestrator/event_coordinator.py:924:            "adhd_state": {
services/task-orchestrator/event_coordinator.py:925:                "focus_mode": self.current_focus_mode,
services/task-orchestrator/event_coordinator.py:965:                "adhd_state": {
services/task-orchestrator/event_coordinator.py:966:                    "focus_mode": self.current_focus_mode,
services/task-orchestrator/event_coordinator.py:971:                "suppression_telemetry": self.get_suppression_report(),
src/dopemux/adhd/workflow_manager.py:6:- 25-minute focus session tracking with break suggestions
src/dopemux/adhd/workflow_manager.py:26:from ..ux.interactive_prompts import InteractivePrompts
src/dopemux/adhd/workflow_manager.py:43:        self.current_focus_level = "medium"
src/dopemux/adhd/workflow_manager.py:44:        self.session_duration_minutes = 25  # ADHD-optimized focus period
src/dopemux/adhd/workflow_manager.py:49:        self.interactive_prompts = InteractivePrompts()
src/dopemux/adhd/workflow_manager.py:52:        self.adhd_engine_client = None
src/dopemux/adhd/workflow_manager.py:66:        self.current_focus_level = "medium"
src/dopemux/adhd/workflow_manager.py:72:            "focus_level": self.current_focus_level,
src/dopemux/adhd/workflow_manager.py:100:            "focus_level_final": self.current_focus_level
src/dopemux/adhd/workflow_manager.py:181:        # Update focus level based on load
src/dopemux/adhd/workflow_manager.py:183:            self.current_focus_level = "low"
src/dopemux/adhd/workflow_manager.py:185:            self.current_focus_level = "medium"
src/dopemux/adhd/workflow_manager.py:187:            self.current_focus_level = "high"
src/dopemux/adhd/workflow_manager.py:193:        logger.debug(f"Cognitive load updated: {load_level:.2f} ({self.current_focus_level})")
src/dopemux/adhd/workflow_manager.py:211:    def get_progressive_info(self, full_info: Dict[str, Any], user_expertise: str = "intermediate") -> Dict[str, Any]:
src/dopemux/adhd/workflow_manager.py:213:        Apply progressive disclosure to information based on user context.
src/dopemux/adhd/workflow_manager.py:247:            "current_focus_level": self.current_focus_level,
src/dopemux/adhd/workflow_manager.py:268:                self.current_focus_level = snapshot.get("current_focus_level", "medium")
src/dopemux/adhd/workflow_manager.py:321:adhd_workflow = ADHDWorkflowManager()
src/dopemux/adhd/workflow_manager.py:325:def start_adhd_session(task_description: str = "") -> Dict[str, Any]:
src/dopemux/adhd/workflow_manager.py:327:    return adhd_workflow.start_session(task_description)
src/dopemux/adhd/workflow_manager.py:330:def end_adhd_session() -> Dict[str, Any]:
src/dopemux/adhd/workflow_manager.py:332:    return adhd_workflow.end_session()
src/dopemux/adhd/workflow_manager.py:337:    return adhd_workflow.suggest_break()
src/dopemux/adhd/workflow_manager.py:342:    adhd_workflow.update_cognitive_load(load, context)
src/dopemux/adhd/workflow_manager.py:347:    return adhd_workflow.get_context_snapshot()
src/dopemux/adhd/workflow_manager.py:352:    return adhd_workflow.restore_context(snapshot)
docs/planes/pm/HUB.md:39:### Phase 1 (Friction + signal)
src/dopemux/adhd/__init__.py:14:# Archived code available in: /src/dopemux/adhd/archived/attention_manager.py.archived
services/task-orchestrator/test_conport_sync.py:144:        adhd_state = {"energy": "medium", "attention": "focused", "load": 0.3}
services/task-orchestrator/test_conport_sync.py:146:        result = await coordinator.coordinate_tasks(sample_tasks, adhd_state)
docs/planes/pm/PM_FRICTION_MAP.md:25:| Evidence search noise inflates PM triage | Friction evidence scans contain binary `__pycache__` matches and non-PM `HealthStatus` hits that match status regex but describe monitoring, not task lifecycle. | Attention fragmentation during audit. Analyst must mentally filter noise before extracting PM signal. Weakens confidence in evidence quality. | Low | Scan hit | `30_memory_burden_search.txt L2,L9-L11` (binary cache); `20_friction_search.txt L81-L96` (health.py HealthStatus) |
docs/planes/pm/PM_FRICTION_MAP.md:26:| Taskmaster has zero tests at any depth | Full recursive search finds no `test_*.py` or `*_test.py` files in `services/taskmaster/`. The service has exactly 2 Python files (`server.py`, `bridge_adapter.py`) and zero tests. | Lower confidence for safe PM changes touching taskmaster. Fear of breakage suppresses refactoring motivation. | Medium | Scan hit | `41_taskmaster_root_tests.txt` (empty); `42_taskmaster_full_test_discovery.txt` (confirms zero at all depths, 2 .py files total) |
docs/planes/pm/PM_FRICTION_MAP.md:37:Evidence search noise was lowered from Medium to **Low** because it affects PM auditors during evidence triage, not developers during normal task operations.
docs/planes/pm/PM_FRICTION_MAP.md:51:**Violation**: Manual conflict evidence originates from Memory adapter/sync artifacts (`sync.py` manual resolution queue), but the friction surface is PM — the user encounters conflict prompts during PM task operations.
docs/planes/pm/PM_FRICTION_MAP.md:75:### What ratio of scan output is actionable PM signal after suppression?
docs/planes/pm/PM_FRICTION_MAP.md:77:UNKNOWN. Evidence needed: filtered/unfiltered counts on the same evidence set with explicit suppression rules applied.
docs/planes/pm/README.md:47:- Phase 1 telemetry evidence: `docs/planes/pm/_evidence/PM-TELEM-01.outputs/`
docs/planes/pm/README.md:60:Verifies: friction evidence bundle, telemetry evidence bundle, and citation presence in Phase 1 docs.
docs/planes/pm/PM_ARCHITECTURE.md:29:  - ADHD engine focus gating
docs/planes/pm/PM_OUTPUT_BOUNDARIES.md:22:- Split of signals across planes:
docs/planes/pm/PM_OUTPUT_BOUNDARIES.md:24:- "Never by default" list (noise, duplicates, or trust risks)
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:10:prelude: ADHD-first event classification for PM plane distinguishing actionable signals from cognitive noise.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:23:| Task status transitions (`in_progress`, `completed`, `blocked`) | Coordinator routes these values to dedicated handlers. `blocked` triggers focus-suggestion emission to help user pivot. | Direct code | `nl_...event_coordinator.py.txt L400-L407` (status routing); `nl_...event_coordinator.py.txt L674-L683` (blocked handler emits focus suggestion) |
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:24:| High and critical priorities under deep-focus gating | Deep-focus mode explicitly passes only CRITICAL and HIGH events. Non-critical interruptions blocked. | Direct code | `nl_...event_coordinator.py.txt L48-L55` (EventPriority enum: CRITICAL=1 through BACKGROUND=5); `nl_...event_coordinator.py.txt L331-L338` (deep focus filter) |
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:27:| Energy-level gating of high-cognitive-load events | When `current_energy_level == "low"`, coordinator suppresses events with `cognitive_load > 0.7`. This is an active signal rule — its activation changes what the developer sees. | Direct code | `nl_...event_coordinator.py.txt L340-L344` (energy-level filter) |
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:40:| Routine worktree operations | `created`, `removed`, `cleaned` confirm user-initiated actions. Only `switched` is signal (triggers context recovery). | Direct code | `nl_...events_types.py.txt L36-L50` (WorktreeEvent actions) |
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:49:### Rule 2: Deep-focus gating (when `current_focus_mode == "deep"`)
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:56:Suppress events with `cognitive_load > 0.7` to prevent overwhelm during low-energy states.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:61:When >10 similar events fire within one minute, log flood warning and suppress duplicates.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:67:Evidence: `[Direct code] nl_...event_bus.py.txt L34-L38` (ADHDMetadata: interruption_allowed, focus_required, time_sensitive, can_batch).
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:69:### Rule 6: Evidence audit noise suppression
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:71:During PM evidence triage, suppress binary-cache grep rows and non-PM status matches unless running an explicit cross-plane audit.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:82:- Event-rate reduction is now directly measurable as `suppression_rate_pct`, with `signal_noise_ratio` computed from pass/receive counts.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:83:Evidence: `[Direct code] nl_services_task-orchestrator_event_coordinator.py.txt L889-L912`; `[Direct code] nl_services_task-orchestrator_tests_test_suppression_telemetry.py.txt L293-L310`.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:85:- PM can attribute suppression volume to six concrete rules (`custom_filter`, `deep_focus_priority`, `deep_focus_interrupt`, `energy_level`, `flood`, `expiry`).
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:86:Evidence: `[Direct code] nl_services_task-orchestrator_event_coordinator.py.txt L104-L110`; `L914-L921`; `[Direct code] nl_services_task-orchestrator_tests_test_suppression_telemetry.py.txt L282-L289`.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:88:- PM can segment suppression by event type and priority (received vs suppressed) for current runtime.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:91:- PM can read telemetry through both periodic logs and health endpoint payloads.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:92:Evidence: `[Direct code] nl_services_task-orchestrator_event_coordinator.py.txt L254-L271`; `L957-L972`; `[Direct code] nl_services_task-orchestrator_tests_test_suppression_telemetry.py.txt L349-L362`.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:96:- Long-horizon suppression trends (hourly/daily), historical baselines, and persisted telemetry history are not yet implemented and remain listed as future work.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:99:- Per-worker suppression attribution is not yet implemented.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:102:- Multi-cause suppression overlap is not measurable because suppression is short-circuited at first matching rule.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:103:Evidence: `[Direct code] nl_services_task-orchestrator_event_coordinator.py.txt L403-L433`; `[Direct code] nl_services_task-orchestrator_tests_test_suppression_telemetry.py.txt L327-L345`.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:107:### PM-owned signal rules
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:109:Task lifecycle orchestration (status routing, blocked-task intervention) and deep-focus/energy event gating logic.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:110:Evidence: `[Direct code] nl_...event_coordinator.py.txt L400-L407` (status routing); `nl_...event_coordinator.py.txt L331-L344` (focus + energy gating).
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:117:### Search-owned noise artifacts
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:124:### What is the measured event-rate reduction after these suppression rules?
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:126:Partially resolved (runtime-only). The report now exposes `suppression_rate_pct` and `signal_noise_ratio`, but historical trend telemetry is still future work.
docs/planes/pm/SIGNAL_VS_NOISE_ANALYSIS.md:129:### Which suppressed event classes are still needed for incident recovery?
