feature_id	title	type	status	priority	owner	subsystem_ids	component_ids	description	acceptance_criteria	non_goals	risk	level_of_effort	story_points	target_release	rfc_ids	adr_ids	source_uri	source_lines	created_at	updated_at	tags
FEAT-3CF6	1. Feature Creep Over User Experience	Feature	Proposed		Product Team	SUB-1-AGENT-ORCHEST|SUB-EXTENSIBILITY-F	COMP-1-adhd-first-api-des|COMP-1-api-not-enabled-in|COMP-leantime-integration	"- **Avoided**: Adding sophisticated features that increase cognitive load
- **Strategy**: Consistent application of ADHD-first design principles
- **Result**: Sophisticated intelligence with maintained cognitive comfort"					0				docs/SERENA_V2_EXPERT_VALIDATION_DESIGN_DECISIONS.md	1-4	2025-10-02T03:01:42.451868	2025-10-02T03:01:42.451869	architecture
FEAT-56BF	2. Performance Regression Through Intelligence	Feature	Proposed		Product Team	SUB-2-EXA-RESEARCH-|SUB-2-SERVICE-LOOKU	COMP-navigation-intellige|COMP-performance-validati|COMP-technical-performanc	"- **Avoided**: Intelligence features that degrade performance below ADHD targets
- **Strategy**: Performance targets treated as hard constraints
- **Result**: Enhanced intelligence with preserved responsiveness"					0				docs/SERENA_V2_EXPERT_VALIDATION_DESIGN_DECISIONS.md	1-4	2025-10-02T03:01:42.452030	2025-10-02T03:01:42.452031	performance
FEAT-463B	Operations & Maintenance ✅	Capability	Proposed		Product Team	SUB-12-EXA-WEB-SEAR|SUB-SECTION-3-CONTE	COMP-operational-readines|COMP-security-compliance|COMP-week-3-ux-enhancemen	"- [ ] **Logging**: Structured logs with correlation IDs
- [ ] **Metrics**: Comprehensive metrics exported to Prometheus
- [ ] **Alerting**: On-call alerts configured appropriately
- [ ] **Documentation**: Operations runbooks complete
- [ ] **Deployment**: Automated deployment with rollback capability
- [ ] **Configuration**: Environment-specific configs externalized
- [ ] **Maintenance Windows**: Procedures for updates and patches"					0				docs/phase3-optimization.md	1-8	2025-10-02T03:01:42.473773	2025-10-02T03:01:42.473774	
FEAT-72D3	5. SerenaSchemaManager (`schema_manager.py`)	Capability	Proposed		Product Team	SUB-5-DESIGN-PRINCI|SUB-5-LIFE-DOMAIN-I	COMP-5-claude-code-deskto|COMP-5-design-principles-|COMP-5-technical-constrai	"```python
class SerenaSchemaManager:
    """"""Schema management with Layer 1 preservation and ADHD-friendly migration.""""""

    # Core Methods
    initialize_schema() -> MigrationResult
    migrate_to_phase2() -> MigrationResult
    rollback_migration(migration_id: str) -> MigrationResult
    get_migration_status() -> Dict[str, Any]

    # Schema Design
    - 6 intelligence tables with ADHD complexity scoring
    - Performance indexes for <200ms query targets
    - ConPort integration support with "					0				docs/SERENA_V2_PHASE2_TECHNICAL_REFERENCE.md	1-31	2025-10-02T03:01:42.491444	2025-10-02T03:01:42.491446	performance|architecture
FEAT-E206	Component Recovery	Capability	Proposed		Product Team		COMP-component-interactio|COMP-component-tags|COMP-verify-recovery	"- **Database Failure**: Graceful fallback to Redis cache with reduced functionality
- **ConPort Unavailable**: Local PostgreSQL pattern storage with eventual consistency
- **Tree-sitter Failure**: Fallback to LSP-only analysis with reduced structural intelligence
- **Learning System Failure**: Fallback to default thresholds with manual override capability

---

*Serena v2 Phase 2 Technical Reference*
*31 Components • 5 Phases • Expert-Validated Architecture*
*Production-Ready with Comprehensive "					0				docs/SERENA_V2_PHASE2_TECHNICAL_REFERENCE.md	1-11	2025-10-02T03:01:42.505692	2025-10-02T03:01:42.505694	database|architecture
FEAT-30EB	Executive Summary	Feature	Proposed		Product Team	SUB-6-IMPLEMENTATIO	COMP-executive-function-s|COMP-6-implementation-pla|COMP-executive-summary	"After conducting a systematic analysis of three GPT Researcher codebases, we recommend forking and integrating the main `gpt-researcher` repository as the foundation for dopemux's research capabilities. This choice provides the most comprehensive feature set, active development, and architectural alignment with ADHD cognitive needs.

**Key Decision**: Use `/Users/hue/code/gpt-researcher` as primary codebase over lightweight MCP-only implementations.

---"					0				docs/GPT_RESEARCHER_INTEGRATION_PLAN.md	1-7	2025-10-02T03:01:42.506121	2025-10-02T03:01:42.506122	
FEAT-E0D1	1. Main gpt-researcher (/Users/hue/code/gpt-researcher)	Feature	Proposed		Product Team	SUB-1-AGENT-ORCHEST	COMP-1-adhd-first-api-des|COMP-1-api-not-enabled-in|COMP-1-flow-state-preserv	"**Verdict**: ✅ **RECOMMENDED** - Primary integration target

**Development Status**:
- Most recent commits: September 23, 2025
- Active development with UI/UX improvements
- Full-featured repository with 46+ directories
- Recent merge: ""feature/new_ui"" branch

**Architecture Strengths**:
- **Full-stack application**: NextJS frontend + Python FastAPI backend
- **Multi-agent system**: Planner and Executor agents working in parallel
- **Rich feature set**: 20+ source aggregation, 2000+ word reports"					0				docs/GPT_RESEARCHER_INTEGRATION_PLAN.md	1-22	2025-10-02T03:01:42.506598	2025-10-02T03:01:42.506599	architecture
FEAT-4BB0	2. gptr-mcp (dopemux-mvp/gptr-mcp)	Feature	Proposed		Product Team	SUB-2-EXA-RESEARCH-|SUB-2-SERVICE-LOOKU	COMP-2-sc-implement|COMP-2-exa-research-tools|COMP-2-link-decision-to-i	"**Verdict**: ❌ Limited scope - MCP server only

**Development Status**:
- Last commits: June 15, 2025 (3+ months older)
- Stable but feature-limited
- 319-line server.py implementation
- Focused solely on Claude Desktop integration

**Architecture Limitations**:
- Single-purpose MCP server
- No frontend UI capabilities
- Limited to basic research functions
- No built-in memory or session management"					0				docs/GPT_RESEARCHER_INTEGRATION_PLAN.md	1-14	2025-10-02T03:01:42.507417	2025-10-02T03:01:42.507419	architecture
FEAT-1EB7	Acceptance Criteria	Feature	Proposed		Product Team		COMP-acceptance-criteria|COMP-phase-1-completion-c|COMP-success-criteria	"- Class diagrams for core business logic
- Sequence diagrams for critical flows
- State diagrams for complex state management
- Package/module organization documented
- Design patterns clearly identified"					0				docs/94-architecture/c4-l3-code.md	1-6	2025-10-02T03:01:42.520570	2025-10-02T03:01:42.520571	architecture
FEAT-07F3	2. Constraints	Feature	Proposed		Product Team	SUB-2-EXA-RESEARCH-|SUB-2-SERVICE-LOOKU	COMP-2-sc-implement|COMP-2-exa-research-tools|COMP-2-link-decision-to-i	"- Existing Milvus cluster (Docker).
- Claude-Context already deployed; must not regress.
- Prefer OSS and pluggable components."					0				docs/94-architecture/arc42-dopemux-semantic-search.md	1-5	2025-10-02T03:01:42.524428	2025-10-02T03:01:42.524429	
FEAT-93E3	4. Solution Strategy	Capability	Proposed		Product Team	SUB-4-KEY-ALGORITHM|SUB-4-CONPORT-GRAPH	COMP-4-metamcp-security-a|COMP-4-zero-effort-captur|COMP-4-context7-documenta	"- Two lanes: Code (Claude-Context) and Docs (DocRAG on Milvus).
- Hybrid search capability for Docs; rerank every answer path.
- MCP servers for standard tool interfaces; Dopemux routes by intent."					0				docs/94-architecture/arc42-dopemux-semantic-search.md	1-5	2025-10-02T03:01:42.524714	2025-10-02T03:01:42.524715	
FEAT-C70A	10. Quality Scenarios	Feature	Proposed		Product Team		COMP-security-and-testing|COMP-6-5-quality-gate-api|COMP-10-morphllm-fast-app	"- P95 ≤ 350ms on warm cache for typical queries.
- Precision@5 ≥ 0.75 on eval deck of 200 queries.
- Recovery: if reranker fails, degrade gracefully to vector score."					0				docs/94-architecture/arc42-dopemux-semantic-search.md	1-5	2025-10-02T03:01:42.525558	2025-10-02T03:01:42.525559	
FEAT-9328	11. Risks & Mitigations	Feature	Proposed		Product Team	SUB-12-EXA-WEB-SEAR|SUB-SECTION-3-CONTE	COMP-security-compliance|COMP-week-3-ux-enhancemen|COMP-3-system-scope-conte	"- **Vendor/API limits** → cache rerank inputs; use lite model or local reranker fallback.
- **Index drift** → periodic full re-embed; versioned collections.
- **Hybrid tuning** → run ablations to set weights; keep feature flag."					0				docs/94-architecture/arc42-dopemux-semantic-search.md	1-5	2025-10-02T03:01:42.525702	2025-10-02T03:01:42.525703	api
FEAT-A3C6	Acceptance Criteria	Feature	Proposed		Product Team		COMP-acceptance-criteria|COMP-phase-1-completion-c|COMP-success-criteria	"- All major containers identified and documented
- Technology choices clearly indicated
- Communication protocols specified (gRPC, REST, MCP)
- Deployment boundaries shown
- Responsibility boundaries clear"					0				docs/94-architecture/c4-l1-container.md	1-6	2025-10-02T03:01:42.526194	2025-10-02T03:01:42.526195	
FEAT-A9F6	📋 **Missing Sections (6/12)**	Feature	Proposed		Product Team	SUB-MISSING-SECTION|SUB-THE-12-SECTIONS	COMP-table-of-contents	"| Section | Status | Next Action |
|---------|--------|-------------|
| **02** | ❌ Missing | Create architecture constraints documentation |
| **04** | ❌ Missing | Document high-level solution strategy |
| **05** | ❌ Missing | Organize building blocks (use existing C4 diagrams) |
| **10** | ❌ Missing | Document quality requirements and goals |
| **11** | ❌ Missing | Catalog risks and technical debt |
| **12** | ❌ Missing | Create glossary of domain terms |"					0				docs/94-architecture/readme.md	1-10	2025-10-02T03:01:42.527602	2025-10-02T03:01:42.527604	testing|architecture
FEAT-5D3E	🎯 Next Phase: Complete Arc42	Feature	Proposed		Product Team	SUB-NEXT-PHASE-COMP|SUB-THE-12-SECTIONS	COMP-expected-working-res|COMP-next-steps|COMP-pattern-1-complete-t	"**Priority Order for Missing Sections:**
1. **Section 05**: Building Block View (organize existing C4 diagrams)
2. **Section 02**: Architecture Constraints (technical and ADHD-specific)
3. **Section 04**: Solution Strategy (technology choices and approaches)
4. **Section 10**: Quality Requirements (ADHD usability, performance)
5. **Section 11**: Risks & Technical Debt (catalog and mitigation plans)
6. **Section 12**: Glossary (domain terms and ADHD concepts)"					0				docs/94-architecture/readme.md	1-9	2025-10-02T03:01:42.528986	2025-10-02T03:01:42.528987	testing|performance|architecture
FEAT-1DB0	Acceptance Criteria	Feature	Proposed		Product Team		COMP-acceptance-criteria|COMP-phase-1-completion-c|COMP-success-criteria	"- Component responsibilities clearly defined
- Inter-component dependencies mapped
- Interface contracts specified
- Error handling flows documented
- Performance bottlenecks identified"					0				docs/94-architecture/c4-l2-component.md	1-6	2025-10-02T03:01:42.539345	2025-10-02T03:01:42.539346	performance
FEAT-4F1D	Acceptance Criteria	Feature	Proposed		Product Team		COMP-acceptance-criteria|COMP-phase-1-completion-c|COMP-success-criteria	"- Diagram exists in PlantUML or Mermaid
- Rendered artifact committed (`.svg`/`.png`)
- Each external actor labeled with interface contract
- Clear indication of data flow direction
- Protocol specifications documented"					0				docs/94-architecture/c4-l0-context.md	1-6	2025-10-02T03:01:42.539696	2025-10-02T03:01:42.539697	
FEAT-D184	Acceptance Criteria	Feature	Proposed		Product Team		COMP-acceptance-criteria|COMP-phase-1-completion-c|COMP-success-criteria	"- Sequence diagrams for each major scenario
- Performance characteristics documented
- Error recovery procedures specified
- Scalability limits identified
- Monitoring and observability defined"	"- Performance characteristics documented
- Error recovery procedures specified
- Scalability limits identified
- Monitoring and observability defined"				0				docs/94-architecture/runtime-view.md	1-6	2025-10-02T03:01:42.540023	2025-10-02T03:01:42.540024	performance
FEAT-69D6	Before → After Comparison	Feature	Proposed		Product Team	SUB-QUERY-EXISTING-|SUB-WHEN-CONVERTING	COMP-after-enabling-api-i|COMP-privacy-filter-py-fi|COMP-quick-catch-up-after	"| Feature | Before (Mock) | After (Enhanced) |
|---------|---------------|------------------|
| Context Persistence | ❌ Hardcoded | ✅ Database + Redis |
| Decision History | ❌ Static | ✅ UUID-tracked with rationale |
| Progress Tracking | ❌ Fake data | ✅ Real percentage + status |
| Container Restart | ❌ Data lost | ✅ Data survives |
| Auto-Save | ❌ None | ✅ 30-second ADHD optimization |
| Search | ❌ None | ✅ Full-text + semantic |
| Performance | ❌ Mock responses | ✅ Redis caching + pooling |"					0				docs/94-architecture/conport-enhanced-persistence.md	1-11	2025-10-02T03:01:42.542748	2025-10-02T03:01:42.542749	database|performance
FEAT-C4EB	Success Metrics	Capability	Proposed		Product Team	SUB-SUCCESS-METRICS	COMP-performance-metrics|COMP-zen-mcp-performance-|COMP-restore-success-outp	"- ✅ **Context Survival**: 100% across container restarts
- ✅ **Decision Persistence**: UUID-tracked with full rationale
- ✅ **Progress Accuracy**: Real percentage tracking
- ✅ **ADHD Optimization**: 30-second auto-save active
- ✅ **Performance**: Redis caching + PostgreSQL reliability
- ✅ **Search Capability**: Full-text semantic search operational

This enhanced persistence architecture provides the solid ADHD memory foundation that your Two-Plane development platform was designed to achieve."					0				docs/94-architecture/conport-enhanced-persistence.md	1-9	2025-10-02T03:01:42.543655	2025-10-02T03:01:42.543656	performance|architecture
FEAT-1E6E	Acceptance Criteria	Feature	Proposed		Product Team		COMP-acceptance-criteria|COMP-phase-1-completion-c|COMP-success-criteria	"- Deployment diagrams for each phase
- Infrastructure as Code specifications
- Security policy documentation
- Scaling strategies defined
- Backup and recovery procedures"					0				docs/94-architecture/deployment-view.md	1-6	2025-10-02T03:01:42.543976	2025-10-02T03:01:42.543977	security
FEAT-2466	Implementation Notes	Feature	Proposed		Product Team	SUB-6-IMPLEMENTATIO	COMP-implementation|COMP-store-successful-imp|COMP-week-7-slash-command	"- Align with ADR-605 (Deployment Phasing)
- Document local-first constraints
- Include ADHD developer experience considerations
- Show CI/CD pipeline integration
- Document environment-specific configurations"					0			ADR-605	docs/94-architecture/deployment-view.md	1-5	2025-10-02T03:01:42.544119	2025-10-02T03:01:42.544120	
FEAT-01A0	Decision	Feature	Proposed		Product Team	SUB-DECISION	COMP-decision|COMP-decision-logging-25m|COMP-1-core-architecture-	Use Diátaxis shelves, MADR-style ADRs for decisions, one **Feature Hub** per feature, and implement `/doc:pull` via MCP to always load the right context.					0				docs/94-architecture/09-decisions/adr-0038-docs-governance.md	1-2	2025-10-02T03:01:42.553078	2025-10-02T03:01:42.553080	
FEAT-5BA8	Fast Pattern Classification	Feature	Proposed		Product Team		COMP-mcp-server-classific|COMP-pattern-matching|COMP-10-morphllm-fast-app	"```python
class FastPatternClassifier:
    DECISION_PATTERNS = [
        r""(?i)\b(decided?|chose|going with|let's use)\b"",
        r""(?i)^(feat|feature):\s*"",  # Commit patterns
        r""(?i)\b(switched to|migrated to|adopted)\b"",
    ]

    def classify(self, text: str, context: dict) -> Optional[MemoryType]:
        # Context provides strong hints
        if context['source'] == 'git_commit':
            if re.search(r'^feat:', text):
                return MemoryType.DECISION

        # Chec"					0				docs/94-architecture/09-decisions/adr-0007-hybrid-classification-approach.md	1-22	2025-10-02T03:01:42.568691	2025-10-02T03:01:42.568693	
FEAT-0DC3	Positive	Capability	Proposed		Product Team		COMP-positive	"- **Durable, queryable history**: Never lose context of why decisions were made
- **Deterministic behavior**: Can replay and understand system state changes
- **Debugging capability**: Full trace from user intent to system action
- **Project knowledge**: Builds comprehensive understanding over time"					0				docs/94-architecture/09-decisions/adr-0005-orchestrator-writes-memory-first.md	1-5	2025-10-02T03:01:42.573285	2025-10-02T03:01:42.573286	architecture
FEAT-35CE	📋 Acceptance Criteria	Feature	Proposed		Product Team	SUB-MISSING-SECTION	COMP-acceptance-criteria|COMP-table-of-contents|COMP-phase-1-completion-c	"- [x] Two-stage hybrid retrieval pipeline implemented
- [x] Role-based policy system functional
- [x] ConPort memory integration complete
- [x] Performance targets met in testing
- [x] Operational procedures documented
- [x] Security and access controls implemented
- [x] Monitoring and alerting configured
- [x] User acceptance testing completed"					0				docs/94-architecture/09-decisions/adr-0507-hybrid-rag-architecture.md	1-10	2025-10-02T03:01:42.577145	2025-10-02T03:01:42.577147	testing|performance|security|architecture
FEAT-47C1	Structured Data Requirements	Feature	Proposed		Product Team	SUB-PROJECT-MEMORY-|SUB-DATA-ORGANIZATI	COMP-preservation-require|COMP-data-flow-direction|COMP-data-security-500-59	"- **User management**: Accounts, preferences, ADHD accommodation settings
- **Project metadata**: Project configurations, team assignments, permissions
- **Audit trails**: Decision history, change logs, compliance tracking
- **Configuration data**: System settings, feature flags, integration configs
- **Metrics and analytics**: Usage statistics, performance measurements, user feedback
- **Workflow state**: Task progression, milestone tracking, approval workflows"					0				docs/94-architecture/09-decisions/adr-0503-relational-storage-postgresql.md	1-7	2025-10-02T03:01:42.579883	2025-10-02T03:01:42.579885	performance|architecture
FEAT-7985	Relational Database Needs	Feature	Proposed		Product Team		COMP-state-dependent-need|COMP-verify-shared-databa|COMP-find-all-decisions-r	"- **ACID transactions**: Ensure data consistency across complex operations
- **Complex queries**: Join multiple tables for comprehensive reporting
- **Data integrity**: Foreign key constraints and referential integrity
- **Concurrent access**: Multiple users and agents accessing shared data
- **Backup and recovery**: Enterprise-grade data protection
- **Performance**: Sub-50ms queries for structured data operations"					0				docs/94-architecture/09-decisions/adr-0503-relational-storage-postgresql.md	1-7	2025-10-02T03:01:42.580171	2025-10-02T03:01:42.580172	performance
FEAT-DC3B	Data Access Patterns	Feature	Proposed		Product Team	SUB-DATA-ORGANIZATI|SUB-QUERY-EXISTING-	COMP-7-leantime-api-and-w|COMP-component-interactio|COMP-data-flow-direction	"- **User operations**: Authentication, preferences, ADHD settings
- **Project queries**: Configuration retrieval, team member access
- **Audit queries**: Decision history, change tracking, compliance reports
- **Analytics queries**: Usage patterns, performance metrics, user behavior
- **Configuration management**: Feature flags, system settings, integration configs"					0				docs/94-architecture/09-decisions/adr-0503-relational-storage-postgresql.md	1-6	2025-10-02T03:01:42.581215	2025-10-02T03:01:42.581216	performance|architecture
FEAT-FC50	Review Schedule	Feature	Proposed		Product Team	SUB-CODE-REVIEW-MET		"- **Weekly**: Health check status, error rates
- **Monthly**: User satisfaction, feature adoption
- **Quarterly**: Architecture review, capacity planning"					0				docs/94-architecture/09-decisions/adr-0035-mcp-system-integration-success.md	1-4	2025-10-02T03:01:42.585864	2025-10-02T03:01:42.585870	architecture
FEAT-6897	Incremental Value Delivery	Capability	Proposed		Product Team	SUB-CORE-VALUE-PROP		"Rather than requiring all intelligence features before any benefit, progressive enhancement allows:
- **Immediate deployment** with pattern-based classification
- **Gradual AI rollout** as models are trained and tested
- **Feature-by-feature enablement** based on confidence and user feedback
- **Rollback capability** if enhancements cause problems"					0				docs/94-architecture/09-decisions/adr-0010-progressive-enhancement.md	1-6	2025-10-02T03:01:42.595366	2025-10-02T03:01:42.595370	
FEAT-9248	~/.dopemux/memory-intelligence.yaml	Feature	Proposed		Product Team			"intelligence:
  # Level 0: Core only (manual operations)
  # Level 1: + Pattern classification
  # Level 2: + AI classification
  # Level 3: + Relationship inference
  # Level 4: + Proactive surfacing
  level: 2

  # Fine-grained control
  pattern_classification: true
  ai_classification: true
  ai_model: ""ollama""  # or ""openai"", ""anthropic""
  relationship_inference: false  # opt-in
  proactive_surfacing: false     # opt-in

  # ADHD-specific settings
  gentle_enhancement: true       # Gradual f"					0				docs/94-architecture/09-decisions/adr-0010-progressive-enhancement.md	1-21	2025-10-02T03:01:42.598567	2025-10-02T03:01:42.598570	
