from_id	from_type	to_id	to_type	relation	rationale	confidence
RS-53744640	Research	COMP-any-library-usage-mu	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-incorrect-approach-n	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-getting-started-tuto	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-context-aware-assist	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-advantages-of-letta-	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-adr-default-embeddin	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-what-you-ll-learn	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-api-integration-fram	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-alerting-and-inciden	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-adhd-optimized-fasta	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-project-structure	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-llm-friendly-project	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-1-implement-basevect	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-llm-backend-extensio	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-storage-backend-exte	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-implementation-steps	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-1-architect-agent-sy	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-basic-memory-pro	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-token-budget-managem	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-96f8eecf	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-implementation-detai	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-process-user-request	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-automatic-health-che	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-test-pattern-matchin	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-1-extraction-system	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-not-yet-implemented	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-577a2797	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-25-research-research	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-pattern-3-experiment	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-workflow-transition-	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-adhd-optimized-visua	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-core-files-delivered	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-revolutionary-adhd-d	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-login-with-username-	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-available-http-endpo	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-1-store-a-project-de	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-current-status	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-impact	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-week-1-implementatio	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-integration-requirem	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-claude-flow-compatib	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-visual-hierarchy-and	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-smart-notification-b	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-project-specific-set	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-custom-template-for-	Component	informs	Research provides relevant context	0.68
RS-53744640	Research	COMP-7-leantime-agile-pro	Component	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-05F0	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-C59E	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-EAF4	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-497F	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-062B	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-4A49	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-707F	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-E534	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-5C6F	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-E277	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-2AEE	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-5C44	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-46B6	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-10E1	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-139D	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-02F3	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-CB4C	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-5182	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-A5D9	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-13EA	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-52BF	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-7D6F	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-57FA	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-DA99	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-E06F	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-3294	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-06B7	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-34C0	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-238D	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-560D	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-2E0F	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-EF8C	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-5FFF	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-B904	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-C65C	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-94F1	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-F2F2	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-B217	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-8B50	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-AF63	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-22D9	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-538B	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-BB65	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-C97B	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-89B7	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-ED97	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-89AA	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-FBFF	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-F00B	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-6430	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-9CE2	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-01EE	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-3EA2	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-EC9C	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-804A	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-F46B	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-6774	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-DC8A	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-07EA	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-DADE	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-9A90	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-F6DE	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-D167	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-F40C	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-4CD3	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-D3D2	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-CB49	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-80B0	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-A146	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-190A	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-3AA1	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-DE9B	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-C94E	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-A3BA	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-6D19	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-9958	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-8346	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-DA98	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-E853	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-8A01	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-A0C2	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-C0CC	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-0D2C	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-C870	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-E214	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-8C1F	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-01CB	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-52A2	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-BF5B	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-BD6E	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-FFD1	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-5D04	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-634E	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-E215	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-736F	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-252C	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-60CE	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-E2CA	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-F49E	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-891B	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-18D9	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-BB86	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-6D1F	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-3F39	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-B448	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-5E7D	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-2047	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-9714	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-55D9	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-6EB8	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-8546	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-71EB	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-CC02	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-B6D5	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-5C7C	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-B908	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-8782	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-B7A8	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-4CB1	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-490A	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-84D8	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-AE58	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-9370	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-A79A	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-743F	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-7BF7	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-90C6	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-C174	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-F4A1	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-9180	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-9DAD	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-04C1	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-0383	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-7D1C	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-2DAC	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-4B58	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-86CC	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-6956	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-58D2	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-23E4	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-0859	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-30D4	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-3463	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-473A	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-4101	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-1BA7	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-7025	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-AEF3	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-1F2E	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-3B22	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-3404	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-DBCC	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-9E67	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-DC27	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-448E	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-D174	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-A47A	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-FBDC	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-5270	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-073F	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-6EE2	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-7BDC	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-AC41	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-1E54	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-78FB	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-267C	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-D5A3	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-8A9D	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-294E	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-EEFB	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-5B72	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-6F19	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-00CF	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-1108	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-02F6	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-2073	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-EF05	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-5C94	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-EF2A	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-5A0D	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-203C	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-40A3	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-D3BC	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-B543	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-6025	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-D727	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-9DE5	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-0D07	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-A609	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-974B	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-A79F	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-F58C	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-71F6	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-10D6	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-B2B9	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-F8E2	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-BE68	Feature	informs	Research provides relevant context	0.68
RS-73751946	Research	FEAT-FB32	Feature	informs	Research provides relevant context	0.68
