pr_number,title,head_ref,head_sha,author,is_draft,review_decision,file_count,aggregate_changed_files,reconciled,disposition,url
1143,chore(deps): bump the npm_and_yarn group across 1 directory with 3 updates,dependabot/npm_and_yarn/ui-dashboard/npm_and_yarn-d3bc4254df,8147bf929910592088df771d1f92a782d8a5ad62,app/dependabot,False,NONE,3,3,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1143
1145,deps(deps): bump google-genai from 1.69.0 to 2.14.0,dependabot/uv/google-genai-2.14.0,b6e686757fdb23b78861586c49adb42c4a3ce262,app/dependabot,False,NONE,2,2,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1145
1146,deps(deps-dev): bump setuptools from 82.0.1 to 83.0.0,dependabot/uv/setuptools-83.0.0,eb2bfdce946995fff025831bc499fae33fe686cc,app/dependabot,False,NONE,1,1,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1146
1147,deps(deps): bump the javascript-minor-patch group across 1 directory with 9 updates,dependabot/npm_and_yarn/javascript-minor-patch-6ddac0c4e4,4a05d03584b20f7e3d618c4225e66fdbe3fa71ba,app/dependabot,False,NONE,2,2,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1147
1148,deps(deps): bump next from 15.5.18 to 16.2.12,dependabot/npm_and_yarn/next-16.2.12,6c37e3515541af3479fcf901675b28c05aef50c2,app/dependabot,False,NONE,2,2,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1148
1151,feat(dcp): trusted input capability boundary — DMX-DCP-MODEL-ROUTING-MVP-0007I,dcp/model-routing-0007i-trusted-input,a091c67c3171e4ef7a2f16311974f42ca0ed4e9b,hu3mann,True,NONE,43,43,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1151
1152,docs(fdos-004): refresh ChatGPT Project 40-source upload set to current main,claude/chatgpt-40-source-refresh-f84dfc,756fb8b9a2c5057377eae149bf8ca6273bfd1fd1,hu3mann,False,NONE,281,281,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1152
1153,test(dcp): trusted-input adversarial corpus — 0007T,dcp/model-routing-0007t-adversarial-tests,17cd5984d6e70f82366afae3d99f28b5f807dc26,hu3mann,True,NONE,60,60,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1153
1154,feat(dcp): trusted adapter registry (disabled) — 0007A,dcp/model-routing-0007a-adapter-registry,1e2fb793557f3faf63124d76e2a52658017ca026,hu3mann,True,NONE,76,76,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1154
1155,fix(rte): surface tree-sitter degraded mode,codex/tp-rte-truth-r0-005-tree-sitter-degraded,c05d8c062a40b2d3a1a9485ef239b433b659650b,hu3mann,True,NONE,7,7,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1155
1156,feat(dcp): inert backend runner contract — 0008,dcp/model-routing-0008-runner-contract,dcfa4978f65044d93422f1a5b6837e54a6453319,hu3mann,True,NONE,92,92,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1156
1157,feat(dcp): runner capability registry (invocation disabled) — 0009,dcp/model-routing-0009-runner-capabilities,40224403cba6411ea79156572710b8b13b5e5cb9,hu3mann,True,NONE,84,84,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1157
1159,"feat(dopetask): add ""claude"" to execution.agent enum",claude/distracted-brahmagupta-6b0743,3a6cda08047776bf62259eb350e79a6840a56892,hu3mann,False,NONE,2,2,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1159
1161,"MCP fleet follow-ups: LOW audit findings, M11 consumer sweep, P-24 ADR",claude/mcp-fleet-followups,9de59b49ed8a284feee1087cd4289880deb60e71,hu3mann,False,NONE,19,19,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1161
1163,draft(research): preregister LTAIP H0 segment study [BLOCKED_EVIDENCE],research/TP-LTAIP-H0-001-segment-workflow-lock,08e4bfe7ce41c6802f4b1f424d8f107a81b99e41,hu3mann,True,NONE,7,7,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1163
1165,audit: approve AGY Gemini 3.1 Pro exact model,codex/approve-agy-gemini-3-1-pro-audit,eb56be7e76605916c9237345793ee0db66ccb03a,hu3mann,False,NONE,15,15,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1165
1166,"MCP fleet: follow-up implementation (network fixes, P22-F3 closed, M11 blocked+documented)",claude/mcp-fleet-followup-implementation,8e2a60221110164e1b180f15b2ec2848ca55ddba,hu3mann,True,NONE,16,16,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1166
1168,deps(deps): bump actions/upload-artifact from 4 to 7,dependabot/github_actions/actions/upload-artifact-7,48e0f5369ec07585579d2431821380885a0b59fd,app/dependabot,False,NONE,2,2,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1168
1169,deps(deps): bump actions/create-github-app-token from 2.2.1 to 3.2.0,dependabot/github_actions/actions/create-github-app-token-3.2.0,5c7ed656ad52f1471a7b2dfe27ad95e1b6e81914,app/dependabot,False,NONE,7,7,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1169
1170,deps(deps): bump actions/setup-node from 4 to 7,dependabot/github_actions/actions/setup-node-7,2fba3993f4b36f361e72455cb6cfc096985233cb,app/dependabot,False,NONE,1,1,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1170
1172,deps(deps): bump mysql from 8.0 to 26.7,dependabot/docker_compose/mysql-26.7,31a1107f1d58b7325362fa8165dadbe814c490ea,app/dependabot,False,NONE,1,1,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1172
1178,chore(deps): bump pyasn1 from 0.6.3 to 0.6.4 in /docker/mcp-servers-source/pal/pal-mcp-server in the uv group across 1 directory,dependabot/uv/docker/mcp-servers-source/pal/pal-mcp-server/uv-a54b704532,76683bcec7ecb0f644a073da2115b8ba92686a60,app/dependabot,False,NONE,1,1,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1178
1179,deps(deps): bump pyasn1 from 0.6.3 to 0.6.4,dependabot/uv/pyasn1-0.6.4,6019afc38c27cc3c870e2b7b30e9524f9531ef0d,app/dependabot,False,NONE,1,1,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1179
1180,🎨 Palette: Dynamic Focus Preservation on Task Sequencer Transitions,jules-8263938438679965872-a4760e96,0185b75bdba0741a63bde0ae9593900550b9013f,hu3mann,False,NONE,2,2,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1180
1183,refactor(rte): RTE-TRUTH follow-up packets (stacked on #1136),claude/rte-truth-followup,a8faf22b496dc6fc6135945417b6542016e13d5d,hu3mann,True,NONE,34,34,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1183
1186,🎨 Palette: Fix MUI ListItemText DOM nesting validation warning in TaskSequencer,jules-4017736504628257338-331b4670,cec71338cfa14d32434554cf9aa7e081be422922,hu3mann,False,NONE,2,2,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1186
1192,fix(governance): SKIPPED quarantine mode for proof-only contract,fix/governance-skipped-quarantine-mode,c2a8140d603901567e695c4bdd3c94f5e7138b75,hu3mann,False,NONE,2,2,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1192
1194,deps(deps): bump the python-minor-patch group across 1 directory with 41 updates,dependabot/uv/python-minor-patch-cbc174217c,051ad6f7a7725a8051ece6b152b1ae8cf42febf1,app/dependabot,False,NONE,3,3,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1194
1195,deps(deps-dev): bump postcss from 8.5.15 to 8.5.23,dependabot/npm_and_yarn/postcss-8.5.23,69982aa23dff8625bac3d5889a9432b77471f9d2,app/dependabot,False,NONE,1,1,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1195
1196,deps(deps-dev): bump brace-expansion from 1.1.13 to 1.1.18,dependabot/npm_and_yarn/brace-expansion-1.1.18,9663b4a128b239c7e6558ca843f1e9b9adbb4a64,app/dependabot,False,NONE,1,1,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1196
1197,🎨 Palette: Resolve DOM Nesting and Stylings in TaskSequencer,jules-10278907600265042825-b943539f,897353dd3545390f57f85e8e31db5c6bb4350af9,hu3mann,False,NONE,1,1,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1197
1198,deps(deps): bump aiohttp from 3.14.1 to 3.14.3,dependabot/uv/aiohttp-3.14.3,98690309f1c722f7af2b40d7ca32636e48ea44bb,app/dependabot,False,NONE,2,2,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1198
1199,chore(deps): bump aiohttp from 3.14.1 to 3.14.3 in /services/dopemux-gpt-researcher/backend in the pip group across 1 directory,dependabot/pip/services/dopemux-gpt-researcher/backend/pip-cb16c77914,8cdddfe161946fd2f3b381550ea8552b5c66f125,app/dependabot,False,NONE,1,1,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1199
1200,🎨 Palette: Fix DOM-Nesting Warning in TaskSequencer,palette/fix-dom-nesting-warning-1868068882460184937,3c966386a922cc4010f8056e1228af07163e6882,hu3mann,False,NONE,1,1,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1200
1201,fix(litellm): pin prisma==0.11.0 and fastapi==0.140.0 to stop crash-loop,fix/litellm-prisma-pin,22c06b36e121189c59a5b887e26e3fca6826c2cc,hu3mann,False,NONE,1,1,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1201
1202,deps(deps): bump cryptography from 48.0.1 to 50.0.0,dependabot/uv/cryptography-50.0.0,1862ad8aae1ee7329008f3348eefc9ad0754a395,app/dependabot,False,NONE,2,2,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1202
1203,🎨 Palette: Resolve MUI ListItemText DOM nesting validation warning,palette-mielistitemtext-nested-dom-fix-6738207186239116563,7376f3287df8ac6adc28f9662799ad67b3c48f36,hu3mann,False,NONE,2,2,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1203
1204,🎨 Palette: Fix MUI ListItemText DOM Nesting Warning,jules-8027767486663309811-58e7c4c4,0f67224b8730ff0e531a87db4798c8028c4b8596,hu3mann,False,NONE,2,2,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1204
1205,feat(portfolio): open PR portfolio bounded delta reharvest,tp/DMX-DELTA-REHARVEST-001,85f88ef7b0ebbd2e9f1d6082a82a9d282c2a501b,hu3mann,False,NONE,17,17,True,EXCLUDED_EVIDENCE_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1205
1206,docs(second-brain): persist ratified architecture authority,tp/DMX-SB-ARCH-AUTHORITY-PERSIST-001,16e8596410de9bbdef3db5993c5eaf3f60d8d4b6,hu3mann,False,NONE,11,11,True,CANONICAL_PORTFOLIO_PR,https://github.com/DDD-Enterprises/dopemux-mvp/pull/1206
